"","Tcs","Rc_thresholds","Rh_thresholds","first_Tc_reach_days","MAE"
"result.155",9,-110,130,0,7.55
"result.156",5,-115,130,0,14.18
"result.157",6,-115,130,0,17.82
"result.158",7,-115,130,0,16.55
"result.159",8,-115,130,0,13.18
"result.160",9,-115,130,0,7.27
"result.161",5,-120,130,0,13.27
"result.162",6,-120,130,0,17.18
"result.163",7,-120,130,0,16.09
"result.164",8,-120,130,0,12.27
"result.165",9,-120,130,0,7.09
"result.166",5,-125,130,0,14.09
"result.167",6,-125,130,0,15.73
"result.168",7,-125,130,0,15.18
"result.169",8,-125,130,0,11.91
"result.170",9,-125,130,0,6.91
"result.171",5,-130,130,0,33.45
"result.172",6,-130,130,0,14.91
"result.173",7,-130,130,0,14.55
"result.174",8,-130,130,0,11.27
"result.175",9,-130,130,0,6.64
"result.176",5,-135,130,0,13.3
"result.177",6,-135,130,0,14.36
"result.178",7,-135,130,0,14.55
"result.179",8,-135,130,0,11.18
"result.180",9,-135,130,0,6.36
"result.181",5,-140,130,0,12.6
"result.182",6,-140,130,0,13.36
"result.183",7,-140,130,0,13.82
"result.184",8,-140,130,0,10.27
"result.185",9,-140,130,0,5.91
"result.186",5,-145,130,0,16.4
"result.187",6,-145,130,0,12.55
"result.188",7,-145,130,0,13.36
"result.189",8,-145,130,0,9.91
"result.190",9,-145,130,0,5.27
"result.191",5,-150,130,0,33.3
"result.192",6,-150,130,0,11.45
"result.193",7,-150,130,0,13
"result.194",8,-150,130,0,9.64
"result.195",9,-150,130,0,5.27
"result.196",5,-90,135,0,21
"result.197",6,-90,135,0,21.18
"result.198",7,-90,135,0,18.73
"result.199",8,-90,135,0,14.27
"result.200",9,-90,135,0,11.82
"result.201",5,-95,135,0,18
"result.202",6,-95,135,0,20.09
"result.203",7,-95,135,0,18.09
"result.204",8,-95,135,0,13.73
"result.205",9,-95,135,0,11.36
"result.206",5,-100,135,0,17.09
"result.207",6,-100,135,0,19.64
"result.208",7,-100,135,0,17.45
"result.209",8,-100,135,0,13.55
"result.210",9,-100,135,0,7.82
"result.211",5,-105,135,0,15.73
"result.212",6,-105,135,0,18.55
"result.213",7,-105,135,0,17.27
"result.214",8,-105,135,0,12.64
"result.215",9,-105,135,0,7
