"","Tcs","Rc_thresholds","Rh_thresholds","first_Tc_reach_days","MAE"
"result.775",9,-145,175,0,4.27
"result.776",5,-150,175,0,31.8
"result.777",6,-150,175,0,5.27
"result.778",7,-150,175,0,3.91
"result.779",8,-150,175,0,1.91
"result.780",9,-150,175,0,4.36
"result.781",5,-90,180,0,13.18
"result.782",6,-90,180,0,12.36
"result.783",7,-90,180,0,8.82
"result.784",8,-90,180,0,3.82
"result.785",9,-90,180,0,6.09
"result.786",5,-95,180,0,10.82
"result.787",6,-95,180,0,11.73
"result.788",7,-95,180,0,8.09
"result.789",8,-95,180,0,3.64
"result.790",9,-95,180,0,6.18
"result.791",5,-100,180,0,9.82
"result.792",6,-100,180,0,11.27
"result.793",7,-100,180,0,7.64
"result.794",8,-100,180,0,3.45
"result.795",9,-100,180,0,4.27
"result.796",5,-105,180,0,8.45
"result.797",6,-105,180,0,10.64
"result.798",7,-105,180,0,7.36
"result.799",8,-105,180,0,3.36
"result.800",9,-105,180,0,3.55
"result.801",5,-110,180,0,8.09
"result.802",6,-110,180,0,10.18
"result.803",7,-110,180,0,6.82
"result.804",8,-110,180,0,3.36
"result.805",9,-110,180,0,3.64
"result.806",5,-115,180,0,8
"result.807",6,-115,180,0,8.91
"result.808",7,-115,180,0,6.09
"result.809",8,-115,180,0,2.91
"result.810",9,-115,180,0,3.82
"result.811",5,-120,180,0,7.55
"result.812",6,-120,180,0,8.18
"result.813",7,-120,180,0,5.91
"result.814",8,-120,180,0,2.82
"result.815",9,-120,180,0,4
"result.816",5,-125,180,0,8.82
"result.817",6,-125,180,0,6.55
"result.818",7,-125,180,0,5.09
"result.819",8,-125,180,0,2.64
"result.820",9,-125,180,0,4
"result.821",5,-130,180,0,29.64
"result.822",6,-130,180,0,5.55
"result.823",7,-130,180,0,4.55
"result.824",8,-130,180,0,2.55
"result.825",9,-130,180,0,4.27
"result.826",5,-135,180,0,7.5
"result.827",6,-135,180,0,5.09
"result.828",7,-135,180,0,4.45
"result.829",8,-135,180,0,2.55
"result.830",9,-135,180,0,4.64
"result.831",5,-140,180,0,8.7
"result.832",6,-140,180,0,5.09
"result.833",7,-140,180,0,4
"result.834",8,-140,180,0,2.55
"result.835",9,-140,180,0,4.91
"result.836",5,-145,180,0,13
"result.837",6,-145,180,0,4.91
"result.838",7,-145,180,0,3.55
"result.839",8,-145,180,0,2.27
"result.840",9,-145,180,0,5.27
"result.841",5,-150,180,0,31.8
"result.842",6,-150,180,0,4.82
"result.843",7,-150,180,0,3.09
"result.844",8,-150,180,0,2
"result.845",9,-150,180,0,5.27
"result.846",5,-90,185,0,12.36
"result.847",6,-90,185,0,11.55
"result.848",7,-90,185,0,7.91
"result.849",8,-90,185,0,3.27
"result.850",9,-90,185,0,6.18
"result.851",5,-95,185,0,10.09
"result.852",6,-95,185,0,10.64
"result.853",7,-95,185,0,7.09
"result.854",8,-95,185,0,3
"result.855",9,-95,185,0,6.18
"result.856",5,-100,185,0,8.91
"result.857",6,-100,185,0,10.27
"result.858",7,-100,185,0,6.64
"result.859",8,-100,185,0,3
"result.860",9,-100,185,0,4.64
"result.861",5,-105,185,0,7.91
"result.862",6,-105,185,0,9.45
"result.863",7,-105,185,0,6.55
"result.864",8,-105,185,0,2.91
"result.865",9,-105,185,0,4.18
"result.866",5,-110,185,0,7.73
"result.867",6,-110,185,0,8.73
"result.868",7,-110,185,0,6.09
"result.869",8,-110,185,0,2.91
"result.870",9,-110,185,0,4.18
"result.871",5,-115,185,0,7.45
"result.872",6,-115,185,0,7.82
"result.873",7,-115,185,0,5.45
"result.874",8,-115,185,0,2.64
"result.875",9,-115,185,0,4.55
"result.876",5,-120,185,0,6.91
"result.877",6,-120,185,0,7.27
"result.878",7,-120,185,0,4.91
"result.879",8,-120,185,0,2.55
"result.880",9,-120,185,0,4.91
"result.881",5,-125,185,0,8.45
"result.882",6,-125,185,0,5.73
"result.883",7,-125,185,0,4.27
"result.884",8,-125,185,0,2.55
"result.885",9,-125,185,0,4.91
"result.886",5,-130,185,0,29.18
"result.887",6,-130,185,0,4.82
"result.888",7,-130,185,0,4
"result.889",8,-130,185,0,2.55
"result.890",9,-130,185,0,5.09
"result.891",5,-135,185,0,7.1
"result.892",6,-135,185,0,4.45
"result.893",7,-135,185,0,3.91
"result.894",8,-135,185,0,2.45
"result.895",9,-135,185,0,5.18
"result.896",5,-140,185,0,8.5
"result.897",6,-140,185,0,4.55
"result.898",7,-140,185,0,3.09
"result.899",8,-140,185,0,2.45
"result.900",9,-140,185,0,5.64
"result.901",5,-145,185,0,12.9
"result.902",6,-145,185,0,4.27
"result.903",7,-145,185,0,2.64
"result.904",8,-145,185,0,2.18
"result.905",9,-145,185,0,5.82
"result.906",5,-150,185,0,32
"result.907",6,-150,185,0,4.09
"result.908",7,-150,185,0,2.36
"result.909",8,-150,185,0,1.91
"result.910",9,-150,185,0,6
"result.911",5,-90,190,0,11.64
"result.912",6,-90,190,0,10.64
"result.913",7,-90,190,0,7.18
"result.914",8,-90,190,0,2.82
"result.915",9,-90,190,0,6.64
"result.916",5,-95,190,0,9.55
"result.917",6,-95,190,0,9.55
"result.918",7,-95,190,0,6.36
"result.919",8,-95,190,0,2.91
"result.920",9,-95,190,0,6.45
"result.921",5,-100,190,0,8.09
"result.922",6,-100,190,0,9.18
"result.923",7,-100,190,0,5.82
"result.924",8,-100,190,0,3
"result.925",9,-100,190,0,4.82
"result.926",5,-105,190,0,7.45
"result.927",6,-105,190,0,8.45
"result.928",7,-105,190,0,5.45
"result.929",8,-105,190,0,2.73
"result.930",9,-105,190,0,4.91
"result.931",5,-110,190,0,7.09
"result.932",6,-110,190,0,7.82
"result.933",7,-110,190,0,5.18
"result.934",8,-110,190,0,2.91
"result.935",9,-110,190,0,5.18
"result.936",5,-115,190,0,6.91
"result.937",6,-115,190,0,7
"result.938",7,-115,190,0,4.36
"result.939",8,-115,190,0,2.45
"result.940",9,-115,190,0,5.55
"result.941",5,-120,190,0,6.27
"result.942",6,-120,190,0,6.45
"result.943",7,-120,190,0,3.91
"result.944",8,-120,190,0,2.55
"result.945",9,-120,190,0,5.55
"result.946",5,-125,190,0,8.09
"result.947",6,-125,190,0,4.91
"result.948",7,-125,190,0,3.36
"result.949",8,-125,190,0,2.45
"result.950",9,-125,190,0,5.73
"result.951",5,-130,190,0,28.73
"result.952",6,-130,190,0,4.36
"result.953",7,-130,190,0,2.91
"result.954",8,-130,190,0,2.18
"result.955",9,-130,190,0,5.82
"result.956",5,-135,190,0,6.8
"result.957",6,-135,190,0,4
"result.958",7,-135,190,0,2.73
"result.959",8,-135,190,0,2.09
"result.960",9,-135,190,0,6
"result.961",5,-140,190,0,8.5
"result.962",6,-140,190,0,4
"result.963",7,-140,190,0,2.27
"result.964",8,-140,190,0,2.18
"result.965",9,-140,190,0,6.36
"result.966",5,-145,190,0,12.8
"result.967",6,-145,190,0,4.09
"result.968",7,-145,190,0,2.27
"result.969",8,-145,190,0,2.36
"result.970",9,-145,190,0,6.55
"result.971",5,-150,190,0,32
"result.972",6,-150,190,0,3.73
"result.973",7,-150,190,0,2.09
"result.974",8,-150,190,0,2.45
"result.975",9,-150,190,0,6.55
"result.976",5,-90,195,0,10.91
"result.977",6,-90,195,0,9.55
"result.978",7,-90,195,0,6.27
"result.979",8,-90,195,0,3
"result.980",9,-90,195,0,6.64
"result.981",5,-95,195,0,8.64
"result.982",6,-95,195,0,8.64
"result.983",7,-95,195,0,5.45
"result.984",8,-95,195,0,2.82
"result.985",9,-95,195,0,7
"result.986",5,-100,195,0,7.55
"result.987",6,-100,195,0,8.18
"result.988",7,-100,195,0,4.82
"result.989",8,-100,195,0,2.73
"result.990",9,-100,195,0,5.36
"result.991",5,-105,195,0,6.82
"result.992",6,-105,195,0,7.64
"result.993",7,-105,195,0,4.64
"result.994",8,-105,195,0,2.55
"result.995",9,-105,195,0,5.45
"result.996",5,-110,195,0,6.82
"result.997",6,-110,195,0,7
"result.998",7,-110,195,0,4.36
"result.999",8,-110,195,0,2.82
"result.1000",9,-110,195,0,5.82
"result.1001",5,-115,195,0,6.27
"result.1002",6,-115,195,0,6.27
"result.1003",7,-115,195,0,3.55
"result.1004",8,-115,195,0,2.64
"result.1005",9,-115,195,0,6.09
"result.1006",5,-120,195,0,5.91
"result.1007",6,-120,195,0,5.73
"result.1008",7,-120,195,0,3.18
"result.1009",8,-120,195,0,2.45
"result.1010",9,-120,195,0,6.27
"result.1011",5,-125,195,0,7.73
"result.1012",6,-125,195,0,4.45
"result.1013",7,-125,195,0,2.64
"result.1014",8,-125,195,0,2.36
"result.1015",9,-125,195,0,6.36
"result.1016",5,-130,195,0,28.36
"result.1017",6,-130,195,0,4.09
"result.1018",7,-130,195,0,2.18
"result.1019",8,-130,195,0,2.45
"result.1020",9,-130,195,0,6.45
"result.1021",5,-135,195,0,6.4
"result.1022",6,-135,195,0,3.55
"result.1023",7,-135,195,0,2
"result.1024",8,-135,195,0,2.55
"result.1025",9,-135,195,0,6.73
"result.1026",5,-140,195,0,8.2
"result.1027",6,-140,195,0,3.45
"result.1028",7,-140,195,0,2
"result.1029",8,-140,195,0,2.82
"result.1030",9,-140,195,0,7
"result.1031",5,-145,195,0,12.6
"result.1032",6,-145,195,0,3.55
"result.1033",7,-145,195,0,2
"result.1034",8,-145,195,0,3
"result.1035",9,-145,195,0,7.36
"result.1036",5,-150,195,0,31.9
"result.1037",6,-150,195,0,3.36
"result.1038",7,-150,195,0,1.91
"result.1039",8,-150,195,0,3.18
"result.1040",9,-150,195,0,7.45
"result.1041",5,-90,200,0,10.36
"result.1042",6,-90,200,0,8.64
"result.1043",7,-90,200,0,5.36
"result.1044",8,-90,200,0,2.82
"result.1045",9,-90,200,0,7.09
"result.1046",5,-95,200,0,7.91
"result.1047",6,-95,200,0,7.45
"result.1048",7,-95,200,0,4.82
"result.1049",8,-95,200,0,2.73
"result.1050",9,-95,200,0,7.27
"result.1051",5,-100,200,0,6.73
"result.1052",6,-100,200,0,7.18
"result.1053",7,-100,200,0,4.18
"result.1054",8,-100,200,0,2.55
"result.1055",9,-100,200,0,6.09
"result.1056",5,-105,200,0,6.36
"result.1057",6,-105,200,0,6.73
"result.1058",7,-105,200,0,3.73
"result.1059",8,-105,200,0,2.55
"result.1060",9,-105,200,0,6.27
"result.1061",5,-110,200,0,6.18
"result.1062",6,-110,200,0,6.27
"result.1063",7,-110,200,0,3.45
"result.1064",8,-110,200,0,2.82
"result.1065",9,-110,200,0,6.64
"result.1066",5,-115,200,0,5.91
"result.1067",6,-115,200,0,5.36
"result.1068",7,-115,200,0,2.91
"result.1069",8,-115,200,0,2.64
"result.1070",9,-115,200,0,6.91
"result.1071",5,-120,200,0,5.36
"result.1072",6,-120,200,0,4.91
"result.1073",7,-120,200,0,2.36
"result.1074",8,-120,200,0,3
"result.1075",9,-120,200,0,6.91
"result.1076",5,-125,200,0,7.36
"result.1077",6,-125,200,0,3.55
"result.1078",7,-125,200,0,2
"result.1079",8,-125,200,0,3
"result.1080",9,-125,200,0,7
"result.1081",5,-130,200,0,28.36
"result.1082",6,-130,200,0,3.45
"result.1083",7,-130,200,0,2
"result.1084",8,-130,200,0,3
"result.1085",9,-130,200,0,7.27
"result.1086",5,-135,200,0,6.6
"result.1087",6,-135,200,0,3.18
"result.1088",7,-135,200,0,2
"result.1089",8,-135,200,0,3
"result.1090",9,-135,200,0,7.36
"result.1091",5,-140,200,0,8.3
"result.1092",6,-140,200,0,3.18
"result.1093",7,-140,200,0,1.91
"result.1094",8,-140,200,0,3.27
"result.1095",9,-140,200,0,7.82
"result.1096",5,-145,200,0,12.7
"result.1097",6,-145,200,0,3.27
"result.1098",7,-145,200,0,1.91
"result.1099",8,-145,200,0,3.45
"result.1100",9,-145,200,0,8.27
"result.1101",5,-150,200,0,32.1
"result.1102",6,-150,200,0,3.36
"result.1103",7,-150,200,0,1.73
"result.1104",8,-150,200,0,3.64
"result.1105",9,-150,200,0,8.45
"result.1106",5,-90,205,0,9.55
"result.1107",6,-90,205,0,7.91
"result.1108",7,-90,205,0,4.45
"result.1109",8,-90,205,0,2.73
"result.1110",9,-90,205,0,7.82
"result.1111",5,-95,205,0,7.09
"result.1112",6,-95,205,0,6.73
"result.1113",7,-95,205,0,3.91
"result.1114",8,-95,205,0,2.91
"result.1115",9,-95,205,0,8
"result.1116",5,-100,205,0,6
"result.1117",6,-100,205,0,6.55
"result.1118",7,-100,205,0,3.18
"result.1119",8,-100,205,0,2.91
"result.1120",9,-100,205,0,6.64
"result.1121",5,-105,205,0,5.55
"result.1122",6,-105,205,0,6
"result.1123",7,-105,205,0,3.09
"result.1124",8,-105,205,0,2.91
"result.1125",9,-105,205,0,7
"result.1126",5,-110,205,0,5.45
"result.1127",6,-110,205,0,5.27
"result.1128",7,-110,205,0,2.91
"result.1129",8,-110,205,0,3.18
"result.1130",9,-110,205,0,7.18
"result.1131",5,-115,205,0,5.64
"result.1132",6,-115,205,0,4.55
"result.1133",7,-115,205,0,2.36
"result.1134",8,-115,205,0,3
"result.1135",9,-115,205,0,7.55
"result.1136",5,-120,205,0,5.18
"result.1137",6,-120,205,0,3.91
"result.1138",7,-120,205,0,2.27
"result.1139",8,-120,205,0,3.18
"result.1140",9,-120,205,0,7.82
"result.1141",5,-125,205,0,7
"result.1142",6,-125,205,0,3.09
"result.1143",7,-125,205,0,1.64
"result.1144",8,-125,205,0,3.64
"result.1145",9,-125,205,0,8
"result.1146",5,-130,205,0,28.09
"result.1147",6,-130,205,0,2.82
"result.1148",7,-130,205,0,1.64
"result.1149",8,-130,205,0,3.64
"result.1150",9,-130,205,0,8.09
"result.1151",5,-135,205,0,6.3
"result.1152",6,-135,205,0,2.73
"result.1153",7,-135,205,0,1.73
"result.1154",8,-135,205,0,3.73
"result.1155",9,-135,205,0,8.18
"result.1156",5,-140,205,0,7.9
"result.1157",6,-140,205,0,2.82
"result.1158",7,-140,205,0,1.73
"result.1159",8,-140,205,0,4.09
"result.1160",9,-140,205,0,8.64
"result.1161",5,-145,205,0,12.9
"result.1162",6,-145,205,0,3.18
"result.1163",7,-145,205,0,1.64
"result.1164",8,-145,205,0,4.45
"result.1165",9,-145,205,0,9.18
"result.1166",5,-150,205,0,32.4
"result.1167",6,-150,205,0,3.27
"result.1168",7,-150,205,0,2
"result.1169",8,-150,205,0,4.73
"result.1170",9,-150,205,0,9.27
"result.1171",5,-90,210,0,8.73
"result.1172",6,-90,210,0,7.09
"result.1173",7,-90,210,0,3.73
"result.1174",8,-90,210,0,3.18
"result.1175",9,-90,210,0,8.45
"result.1176",5,-95,210,0,6.36
"result.1177",6,-95,210,0,5.91
"result.1178",7,-95,210,0,3.55
"result.1179",8,-95,210,0,3.09
"result.1180",9,-95,210,0,8.73
"result.1181",5,-100,210,0,5.36
"result.1182",6,-100,210,0,5.55
"result.1183",7,-100,210,0,2.91
"result.1184",8,-100,210,0,3.27
"result.1185",9,-100,210,0,7.55
"result.1186",5,-105,210,0,5.18
"result.1187",6,-105,210,0,5
"result.1188",7,-105,210,0,2.73
"result.1189",8,-105,210,0,3.18
"result.1190",9,-105,210,0,8.09
"result.1191",5,-110,210,0,5
"result.1192",6,-110,210,0,4.55
"result.1193",7,-110,210,0,2.73
"result.1194",8,-110,210,0,3.36
"result.1195",9,-110,210,0,8.18
"result.1196",5,-115,210,0,5.18
"result.1197",6,-115,210,0,3.73
"result.1198",7,-115,210,0,2.09
"result.1199",8,-115,210,0,3.55
"result.1200",9,-115,210,0,8.55
"result.1201",5,-120,210,0,4.91
"result.1202",6,-120,210,0,3.09
"result.1203",7,-120,210,0,1.82
"result.1204",8,-120,210,0,3.91
"result.1205",9,-120,210,0,8.55
"result.1206",5,-125,210,0,7
"result.1207",6,-125,210,0,2.73
"result.1208",7,-125,210,0,1.64
"result.1209",8,-125,210,0,4
"result.1210",9,-125,210,0,8.73
"result.1211",5,-130,210,0,28.09
"result.1212",6,-130,210,0,2.82
"result.1213",7,-130,210,0,1.64
"result.1214",8,-130,210,0,4.36
"result.1215",9,-130,210,0,9
"result.1216",5,-135,210,0,6.1
"result.1217",6,-135,210,0,2.55
"result.1218",7,-135,210,0,1.82
"result.1219",8,-135,210,0,4.45
"result.1220",9,-135,210,0,9
"result.1221",5,-140,210,0,8.2
"result.1222",6,-140,210,0,3
"result.1223",7,-140,210,0,1.91
"result.1224",8,-140,210,0,4.82
"result.1225",9,-140,210,0,9.55
"result.1226",5,-145,210,0,13.1
"result.1227",6,-145,210,0,3
"result.1228",7,-145,210,0,2.09
"result.1229",8,-145,210,0,5.27
"result.1230",9,-145,210,0,9.73
"result.1231",5,-150,210,0,32.6
"result.1232",6,-150,210,0,3.27
"result.1233",7,-150,210,0,2.45
"result.1234",8,-150,210,0,5.45
"result.1235",9,-150,210,0,9.91
"result.1236",5,-90,215,0,7.55
"result.1237",6,-90,215,0,6.27
"result.1238",7,-90,215,0,3.36
"result.1239",8,-90,215,0,3.36
"result.1240",9,-90,215,0,9.09
"result.1241",5,-95,215,0,5.55
"result.1242",6,-95,215,0,5.18
"result.1243",7,-95,215,0,2.82
"result.1244",8,-95,215,0,3.82
"result.1245",9,-95,215,0,9.09
"result.1246",5,-100,215,0,4.82
"result.1247",6,-100,215,0,4.64
"result.1248",7,-100,215,0,2.55
"result.1249",8,-100,215,0,3.55
"result.1250",9,-100,215,0,8.27
"result.1251",5,-105,215,0,4.64
"result.1252",6,-105,215,0,4.27
"result.1253",7,-105,215,0,2.36
"result.1254",8,-105,215,0,3.64
"result.1255",9,-105,215,0,8.55
"result.1256",5,-110,215,0,4.55
"result.1257",6,-110,215,0,3.73
"result.1258",7,-110,215,0,2.27
"result.1259",8,-110,215,0,3.82
"result.1260",9,-110,215,0,8.91
"result.1261",5,-115,215,0,4.73
"result.1262",6,-115,215,0,3
"result.1263",7,-115,215,0,2.18
"result.1264",8,-115,215,0,4.36
"result.1265",9,-115,215,0,9.36
"result.1266",5,-120,215,0,4.91
"result.1267",6,-120,215,0,2.91
"result.1268",7,-120,215,0,1.64
"result.1269",8,-120,215,0,5
"result.1270",9,-120,215,0,9.36
"result.1271",5,-125,215,0,6.64
"result.1272",6,-125,215,0,2.55
"result.1273",7,-125,215,0,1.55
"result.1274",8,-125,215,0,5.09
"result.1275",9,-125,215,0,9.45
"result.1276",5,-130,215,0,28.27
"result.1277",6,-130,215,0,2.64
"result.1278",7,-130,215,0,1.91
"result.1279",8,-130,215,0,5.27
"result.1280",9,-130,215,0,10
"result.1281",5,-135,215,0,6.2
"result.1282",6,-135,215,0,2.45
"result.1283",7,-135,215,0,2
"result.1284",8,-135,215,0,5.27
"result.1285",9,-135,215,0,10
"result.1286",5,-140,215,0,8.4
"result.1287",6,-140,215,0,2.91
"result.1288",7,-140,215,0,2.36
"result.1289",8,-140,215,0,5.64
"result.1290",9,-140,215,0,10.18
"result.1291",5,-145,215,0,13.2
"result.1292",6,-145,215,0,3
"result.1293",7,-145,215,0,2.36
"result.1294",8,-145,215,0,6
"result.1295",9,-145,215,0,10.73
"result.1296",5,-150,215,0,32.9
"result.1297",6,-150,215,0,3.27
"result.1298",7,-150,215,0,2.82
"result.1299",8,-150,215,0,6.18
"result.1300",9,-150,215,0,10.73
"result.1301",5,-90,220,0,7.09
"result.1302",6,-90,220,0,5.36
"result.1303",7,-90,220,0,2.82
"result.1304",8,-90,220,0,3.82
"result.1305",9,-90,220,0,9.45
"result.1306",5,-95,220,0,5.27
"result.1307",6,-95,220,0,4.36
"result.1308",7,-95,220,0,2.55
"result.1309",8,-95,220,0,3.82
"result.1310",9,-95,220,0,9.82
"result.1311",5,-100,220,0,4.27
"result.1312",6,-100,220,0,4.18
"result.1313",7,-100,220,0,2.18
"result.1314",8,-100,220,0,4.09
"result.1315",9,-100,220,0,9.18
"result.1316",5,-105,220,0,4.36
"result.1317",6,-105,220,0,3.36
"result.1318",7,-105,220,0,2.09
"result.1319",8,-105,220,0,4.36
"result.1320",9,-105,220,0,9.64
"result.1321",5,-110,220,0,4.27
"result.1322",6,-110,220,0,3
"result.1323",7,-110,220,0,1.82
"result.1324",8,-110,220,0,4.73
"result.1325",9,-110,220,0,9.91
"result.1326",5,-115,220,0,4.55
"result.1327",6,-115,220,0,2.73
"result.1328",7,-115,220,0,1.91
"result.1329",8,-115,220,0,5.27
"result.1330",9,-115,220,0,10.09
"result.1331",5,-120,220,0,4.36
"result.1332",6,-120,220,0,2.36
"result.1333",7,-120,220,0,1.73
"result.1334",8,-120,220,0,5.55
"result.1335",9,-120,220,0,10.36
"result.1336",5,-125,220,0,6.55
"result.1337",6,-125,220,0,2.27
"result.1338",7,-125,220,0,1.91
"result.1339",8,-125,220,0,5.64
"result.1340",9,-125,220,0,10.45
"result.1341",5,-130,220,0,28.64
"result.1342",6,-130,220,0,2.45
"result.1343",7,-130,220,0,2.27
"result.1344",8,-130,220,0,5.82
"result.1345",9,-130,220,0,10.82
"result.1346",5,-135,220,0,6.6
"result.1347",6,-135,220,0,2.45
"result.1348",7,-135,220,0,2.36
"result.1349",8,-135,220,0,5.91
"result.1350",9,-135,220,0,10.82
"result.1351",5,-140,220,0,8.5
"result.1352",6,-140,220,0,2.91
"result.1353",7,-140,220,0,2.82
"result.1354",8,-140,220,0,6.36
"result.1355",9,-140,220,0,11
"result.1356",5,-145,220,0,13.5
"result.1357",6,-145,220,0,3.09
"result.1358",7,-145,220,0,2.91
"result.1359",8,-145,220,0,6.55
"result.1360",9,-145,220,0,11.45
"result.1361",5,-150,220,0,33.3
"result.1362",6,-150,220,0,3.64
"result.1363",7,-150,220,0,3.27
"result.1364",8,-150,220,0,6.91
"result.1365",9,-150,220,0,11.64
"result.1366",5,-90,225,0,6.18
"result.1367",6,-90,225,0,4.82
"result.1368",7,-90,225,0,2.36
"result.1369",8,-90,225,0,4.45
"result.1370",9,-90,225,0,10.27
"result.1371",5,-95,225,0,4.73
"result.1372",6,-95,225,0,3.55
"result.1373",7,-95,225,0,2.45
"result.1374",8,-95,225,0,4.73
"result.1375",9,-95,225,0,10.55
"result.1376",5,-100,225,0,4.18
"result.1377",6,-100,225,0,3
"result.1378",7,-100,225,0,2.09
"result.1379",8,-100,225,0,5
"result.1380",9,-100,225,0,9.91
"result.1381",5,-105,225,0,4
"result.1382",6,-105,225,0,2.82
"result.1383",7,-105,225,0,2.09
"result.1384",8,-105,225,0,5.09
"result.1385",9,-105,225,0,10.36
"result.1386",5,-110,225,0,3.91
"result.1387",6,-110,225,0,3
"result.1388",7,-110,225,0,1.91
"result.1389",8,-110,225,0,5.36
"result.1390",9,-110,225,0,10.64
"result.1391",5,-115,225,0,4.36
"result.1392",6,-115,225,0,2.27
"result.1393",7,-115,225,0,2.18
"result.1394",8,-115,225,0,5.73
"result.1395",9,-115,225,0,11
"result.1396",5,-120,225,0,4.27
"result.1397",6,-120,225,0,2.09
"result.1398",7,-120,225,0,2
"result.1399",8,-120,225,0,6.45
"result.1400",9,-120,225,0,11.09
"result.1401",5,-125,225,0,6.64
"result.1402",6,-125,225,0,1.91
"result.1403",7,-125,225,0,2.27
"result.1404",8,-125,225,0,6.45
"result.1405",9,-125,225,0,11.09
"result.1406",5,-130,225,0,28.82
"result.1407",6,-130,225,0,2.36
"result.1408",7,-130,225,0,2.55
"result.1409",8,-130,225,0,6.73
"result.1410",9,-130,225,0,11.27
"result.1411",5,-135,225,0,6.8
"result.1412",6,-135,225,0,2.73
"result.1413",7,-135,225,0,2.91
"result.1414",8,-135,225,0,6.73
"result.1415",9,-135,225,0,11.55
"result.1416",5,-140,225,0,8.8
"result.1417",6,-140,225,0,3.36
"result.1418",7,-140,225,0,3.36
"result.1419",8,-140,225,0,7.09
"result.1420",9,-140,225,0,11.82
"result.1421",5,-145,225,0,13.9
"result.1422",6,-145,225,0,3.64
"result.1423",7,-145,225,0,3.82
"result.1424",8,-145,225,0,7.18
"result.1425",9,-145,225,0,12.45
"result.1426",5,-150,225,0,33.4
"result.1427",6,-150,225,0,3.91
"result.1428",7,-150,225,0,4.18
"result.1429",8,-150,225,0,7.45
"result.1430",9,-150,225,0,12.45
"result.1431",5,-90,230,0,5.45
"result.1432",6,-90,230,0,3.64
"result.1433",7,-90,230,0,2.45
"result.1434",8,-90,230,0,5.18
"result.1435",9,-90,230,0,10.73
"result.1436",5,-95,230,0,4.45
"result.1437",6,-95,230,0,2.73
"result.1438",7,-95,230,0,2.45
"result.1439",8,-95,230,0,5.36
"result.1440",9,-95,230,0,11
"result.1441",5,-100,230,0,3.64
"result.1442",6,-100,230,0,2.55
"result.1443",7,-100,230,0,2
"result.1444",8,-100,230,0,5.45
"result.1445",9,-100,230,0,10.73
"result.1446",5,-105,230,0,3.55
"result.1447",6,-105,230,0,2.27
"result.1448",7,-105,230,0,1.91
"result.1449",8,-105,230,0,5.91
"result.1450",9,-105,230,0,11.09
"result.1451",5,-110,230,0,3.82
"result.1452",6,-110,230,0,2
"result.1453",7,-110,230,0,1.91
"result.1454",8,-110,230,0,6.18
"result.1455",9,-110,230,0,11.45
"result.1456",5,-115,230,0,4.36
"result.1457",6,-115,230,0,2.18
"result.1458",7,-115,230,0,2.45
"result.1459",8,-115,230,0,6.27
"result.1460",9,-115,230,0,11.73
"result.1461",5,-120,230,0,4.27
"result.1462",6,-120,230,0,2
"result.1463",7,-120,230,0,2.82
"result.1464",8,-120,230,0,6.55
"result.1465",9,-120,230,0,11.73
"result.1466",5,-125,230,0,7.09
"result.1467",6,-125,230,0,2.27
"result.1468",7,-125,230,0,3.18
"result.1469",8,-125,230,0,6.82
"result.1470",9,-125,230,0,12.09
"result.1471",5,-130,230,0,28.91
"result.1472",6,-130,230,0,2.73
"result.1473",7,-130,230,0,3.45
"result.1474",8,-130,230,0,7.27
"result.1475",9,-130,230,0,12.09
"result.1476",5,-135,230,0,7
"result.1477",6,-135,230,0,2.82
"result.1478",7,-135,230,0,3.45
"result.1479",8,-135,230,0,7.36
"result.1480",9,-135,230,0,12.45
"result.1481",5,-140,230,0,9
"result.1482",6,-140,230,0,3.64
"result.1483",7,-140,230,0,4
"result.1484",8,-140,230,0,7.73
"result.1485",9,-140,230,0,12.82
"result.1486",5,-145,230,0,14.2
"result.1487",6,-145,230,0,3.91
"result.1488",7,-145,230,0,4.27
"result.1489",8,-145,230,0,7.91
"result.1490",9,-145,230,0,13.09
"result.1491",5,-150,230,0,33.9
"result.1492",6,-150,230,0,4.55
"result.1493",7,-150,230,0,4.55
"result.1494",8,-150,230,0,8.09
"result.1495",9,-150,230,0,13.18
"result.1496",5,-90,235,0,4.55
"result.1497",6,-90,235,0,3.18
"result.1498",7,-90,235,0,2.36
"result.1499",8,-90,235,0,5.91
"result.1500",9,-90,235,0,11.09
"result.1501",5,-95,235,0,3.82
"result.1502",6,-95,235,0,2.09
"result.1503",7,-95,235,0,2.27
"result.1504",8,-95,235,0,6.18
"result.1505",9,-95,235,0,11.27
"result.1506",5,-100,235,0,3.36
"result.1507",6,-100,235,0,1.91
"result.1508",7,-100,235,0,2.18
"result.1509",8,-100,235,0,6.36
"result.1510",9,-100,235,0,11.27
"result.1511",5,-105,235,0,3.64
"result.1512",6,-105,235,0,1.91
"result.1513",7,-105,235,0,2.27
"result.1514",8,-105,235,0,6.55
"result.1515",9,-105,235,0,11.82
"result.1516",5,-110,235,0,3.73
"result.1517",6,-110,235,0,1.73
"result.1518",7,-110,235,0,2.45
"result.1519",8,-110,235,0,6.64
"result.1520",9,-110,235,0,12.09
"result.1521",5,-115,235,0,4
"result.1522",6,-115,235,0,2.18
"result.1523",7,-115,235,0,3.09
"result.1524",8,-115,235,0,7.09
"result.1525",9,-115,235,0,12.36
"result.1526",5,-120,235,0,4.18
"result.1527",6,-120,235,0,1.73
"result.1528",7,-120,235,0,3.36
