"Tcs","Rc_thresholds","Rh_thresholds","first_Tc_reach_days","MAE"
5,-140,120,0,NA
6,-140,120,0,29
7,-140,120,0,29
8,-140,120,0,40
9,-140,120,0,28
5,-141,120,0,NA
6,-141,120,0,29
7,-141,120,0,29
8,-141,120,0,40
9,-141,120,0,28
5,-142,120,0,NA
6,-142,120,0,29
7,-142,120,0,29
8,-142,120,0,40
9,-142,120,0,28
5,-143,120,0,NA
6,-143,120,0,29
7,-143,120,0,30
8,-143,120,0,40
9,-143,120,0,33
5,-144,120,0,NA
6,-144,120,0,29
7,-144,120,0,30
8,-144,120,0,40
9,-144,120,0,33
5,-145,120,0,NA
6,-145,120,0,32
7,-145,120,0,30
8,-145,120,0,40
9,-145,120,0,45
5,-146,120,0,NA
6,-146,120,0,32
7,-146,120,0,30
8,-146,120,0,40
9,-146,120,0,49
5,-147,120,0,NA
6,-147,120,0,32
7,-147,120,0,30
8,-147,120,0,40
9,-147,120,0,49
5,-148,120,0,NA
6,-148,120,0,34
7,-148,120,0,30
8,-148,120,0,40
9,-148,120,0,49
5,-149,120,0,NA
6,-149,120,0,34
7,-149,120,0,31
8,-149,120,0,40
9,-149,120,0,50
5,-150,120,0,NA
6,-150,120,0,34
7,-150,120,0,31
8,-150,120,0,40
9,-150,120,0,50
5,-90,121,0,12
6,-90,121,0,15
7,-90,121,0,21
8,-90,121,0,69
9,-90,121,0,71
5,-91,121,0,12
6,-91,121,0,15
7,-91,121,0,21
8,-91,121,0,69
9,-91,121,0,70
5,-92,121,0,12
6,-92,121,0,15
7,-92,121,0,21
8,-92,121,0,69
9,-92,121,0,70
5,-93,121,0,12
6,-93,121,0,15
7,-93,121,0,11
8,-93,121,0,69
9,-93,121,0,70
5,-94,121,0,18
6,-94,121,0,15
7,-94,121,0,11
8,-94,121,0,69
9,-94,121,0,69
5,-95,121,0,20
6,-95,121,0,15
7,-95,121,0,11
8,-95,121,0,69
9,-95,121,0,69
5,-96,121,0,20
6,-96,121,0,15
7,-96,121,0,4
8,-96,121,0,69
9,-96,121,0,69
5,-97,121,0,20
6,-97,121,0,15
7,-97,121,0,21
8,-97,121,0,69
9,-97,121,0,69
5,-98,121,0,21
6,-98,121,0,15
7,-98,121,0,21
8,-98,121,0,69
9,-98,121,0,69
5,-99,121,0,22
6,-99,121,0,15
7,-99,121,0,24
8,-99,121,0,69
9,-99,121,0,68
5,-100,121,0,22
6,-100,121,0,15
7,-100,121,0,24
8,-100,121,0,69
9,-100,121,0,68
5,-101,121,0,23
6,-101,121,0,18
7,-101,121,0,24
8,-101,121,0,69
9,-101,121,0,68
5,-102,121,0,23
6,-102,121,0,18
7,-102,121,0,28
8,-102,121,0,68
9,-102,121,0,68
5,-103,121,0,23
6,-103,121,0,18
7,-103,121,0,28
8,-103,121,0,68
9,-103,121,0,68
5,-104,121,0,23
6,-104,121,0,19
7,-104,121,0,28
8,-104,121,0,68
9,-104,121,0,68
5,-105,121,0,26
6,-105,121,0,19
7,-105,121,0,28
8,-105,121,0,68
9,-105,121,0,68
5,-106,121,0,26
6,-106,121,0,19
7,-106,121,0,28
8,-106,121,0,68
9,-106,121,0,68
5,-107,121,0,28
6,-107,121,0,19
7,-107,121,0,28
8,-107,121,0,68
9,-107,121,0,68
5,-108,121,0,28
6,-108,121,0,19
7,-108,121,0,28
8,-108,121,0,8
9,-108,121,0,68
5,-109,121,0,30
6,-109,121,0,20
7,-109,121,0,28
8,-109,121,0,8
9,-109,121,0,62
5,-110,121,0,30
6,-110,121,0,20
7,-110,121,0,28
8,-110,121,0,8
9,-110,121,0,62
5,-111,121,0,37
6,-111,121,0,20
7,-111,121,0,28
8,-111,121,0,0
9,-111,121,0,62
5,-112,121,0,39
6,-112,121,0,20
7,-112,121,0,28
8,-112,121,0,0
9,-112,121,0,62
5,-113,121,0,41
6,-113,121,0,21
7,-113,121,0,28
8,-113,121,0,2
9,-113,121,0,62
5,-114,121,0,42
6,-114,121,0,21
7,-114,121,0,28
8,-114,121,0,2
9,-114,121,0,62
5,-115,121,0,42
6,-115,121,0,21
7,-115,121,0,28
8,-115,121,0,2
9,-115,121,0,62
5,-116,121,0,43
6,-116,121,0,22
7,-116,121,0,28
8,-116,121,0,2
9,-116,121,0,62
5,-117,121,0,43
6,-117,121,0,22
7,-117,121,0,28
8,-117,121,0,6
9,-117,121,0,62
5,-118,121,0,43
6,-118,121,0,23
7,-118,121,0,28
8,-118,121,0,6
9,-118,121,0,62
5,-119,121,0,43
6,-119,121,0,23
7,-119,121,0,28
8,-119,121,0,6
9,-119,121,0,62
5,-120,121,0,43
6,-120,121,0,23
7,-120,121,0,28
8,-120,121,0,13
9,-120,121,0,62
5,-121,121,0,43
6,-121,121,0,24
7,-121,121,0,28
8,-121,121,0,31
9,-121,121,0,62
5,-122,121,0,44
6,-122,121,0,24
7,-122,121,0,28
8,-122,121,0,35
9,-122,121,0,62
5,-123,121,0,44
6,-123,121,0,24
7,-123,121,0,28
8,-123,121,0,35
9,-123,121,0,48
5,-124,121,0,44
6,-124,121,0,24
7,-124,121,0,28
8,-124,121,0,35
9,-124,121,0,48
5,-125,121,0,45
6,-125,121,0,24
7,-125,121,0,28
8,-125,121,0,36
9,-125,121,0,48
5,-126,121,0,47
6,-126,121,0,24
7,-126,121,0,28
8,-126,121,0,36
9,-126,121,0,48
5,-127,121,0,49
6,-127,121,0,24
7,-127,121,0,28
8,-127,121,0,36
9,-127,121,0,48
5,-128,121,0,52
6,-128,121,0,24
7,-128,121,0,28
8,-128,121,0,40
9,-128,121,0,48
5,-129,121,0,53
6,-129,121,0,27
7,-129,121,0,29
8,-129,121,0,40
9,-129,121,0,48
5,-130,121,0,68
6,-130,121,0,28
7,-130,121,0,29
8,-130,121,0,40
9,-130,121,0,15
5,-131,121,0,145
6,-131,121,0,28
7,-131,121,0,29
8,-131,121,0,40
9,-131,121,0,15
5,-132,121,0,NA
6,-132,121,0,28
7,-132,121,0,29
8,-132,121,0,40
9,-132,121,0,15
5,-133,121,0,NA
6,-133,121,0,28
7,-133,121,0,29
8,-133,121,0,40
9,-133,121,0,15
5,-134,121,0,NA
6,-134,121,0,28
7,-134,121,0,29
8,-134,121,0,40
9,-134,121,0,24
5,-135,121,0,NA
6,-135,121,0,28
7,-135,121,0,29
8,-135,121,0,40
9,-135,121,0,24
5,-136,121,0,NA
6,-136,121,0,29
7,-136,121,0,30
8,-136,121,0,40
9,-136,121,0,26
5,-137,121,0,NA
6,-137,121,0,29
7,-137,121,0,30
8,-137,121,0,40
9,-137,121,0,26
5,-138,121,0,NA
6,-138,121,0,29
7,-138,121,0,30
8,-138,121,0,40
9,-138,121,0,26
5,-139,121,0,NA
6,-139,121,0,29
7,-139,121,0,30
8,-139,121,0,40
9,-139,121,0,26
5,-140,121,0,NA
6,-140,121,0,30
7,-140,121,0,30
8,-140,121,0,40
9,-140,121,0,28
5,-141,121,0,NA
6,-141,121,0,30
7,-141,121,0,30
8,-141,121,0,40
9,-141,121,0,28
5,-142,121,0,NA
6,-142,121,0,30
7,-142,121,0,30
8,-142,121,0,40
9,-142,121,0,28
5,-143,121,0,NA
6,-143,121,0,30
7,-143,121,0,30
8,-143,121,0,40
9,-143,121,0,33
5,-144,121,0,NA
6,-144,121,0,30
7,-144,121,0,31
8,-144,121,0,40
9,-144,121,0,33
5,-145,121,0,NA
6,-145,121,0,32
7,-145,121,0,31
8,-145,121,0,40
9,-145,121,0,45
5,-146,121,0,NA
6,-146,121,0,33
7,-146,121,0,31
8,-146,121,0,40
9,-146,121,0,49
5,-147,121,0,NA
6,-147,121,0,33
7,-147,121,0,31
8,-147,121,0,40
9,-147,121,0,49
5,-148,121,0,NA
6,-148,121,0,34
7,-148,121,0,31
8,-148,121,0,40
9,-148,121,0,49
5,-149,121,0,NA
6,-149,121,0,34
7,-149,121,0,31
8,-149,121,0,40
9,-149,121,0,51
5,-150,121,0,NA
6,-150,121,0,34
7,-150,121,0,32
8,-150,121,0,40
9,-150,121,0,51
5,-90,122,0,12
6,-90,122,0,15
7,-90,122,0,20
8,-90,122,0,69
9,-90,122,0,71
5,-91,122,0,12
6,-91,122,0,15
7,-91,122,0,20
8,-91,122,0,69
9,-91,122,0,70
5,-92,122,0,12
6,-92,122,0,15
7,-92,122,0,20
8,-92,122,0,69
9,-92,122,0,70
5,-93,122,0,12
6,-93,122,0,15
7,-93,122,0,11
8,-93,122,0,69
9,-93,122,0,70
5,-94,122,0,18
6,-94,122,0,15
7,-94,122,0,11
8,-94,122,0,69
9,-94,122,0,69
5,-95,122,0,20
6,-95,122,0,15
7,-95,122,0,11
8,-95,122,0,69
9,-95,122,0,69
5,-96,122,0,21
6,-96,122,0,15
7,-96,122,0,3
8,-96,122,0,69
9,-96,122,0,69
5,-97,122,0,21
6,-97,122,0,16
7,-97,122,0,21
8,-97,122,0,68
9,-97,122,0,69
5,-98,122,0,21
6,-98,122,0,16
7,-98,122,0,21
8,-98,122,0,68
9,-98,122,0,69
5,-99,122,0,23
6,-99,122,0,16
7,-99,122,0,24
8,-99,122,0,68
9,-99,122,0,68
5,-100,122,0,23
6,-100,122,0,16
7,-100,122,0,24
8,-100,122,0,68
9,-100,122,0,68
5,-101,122,0,23
6,-101,122,0,18
7,-101,122,0,24
8,-101,122,0,68
9,-101,122,0,68
5,-102,122,0,23
6,-102,122,0,18
7,-102,122,0,28
8,-102,122,0,68
9,-102,122,0,68
5,-103,122,0,23
6,-103,122,0,19
7,-103,122,0,28
8,-103,122,0,68
9,-103,122,0,68
5,-104,122,0,23
6,-104,122,0,19
7,-104,122,0,28
8,-104,122,0,68
9,-104,122,0,68
5,-105,122,0,26
6,-105,122,0,19
7,-105,122,0,28
8,-105,122,0,68
9,-105,122,0,68
5,-106,122,0,26
6,-106,122,0,20
7,-106,122,0,28
8,-106,122,0,68
9,-106,122,0,68
5,-107,122,0,28
6,-107,122,0,20
7,-107,122,0,28
8,-107,122,0,68
9,-107,122,0,68
5,-108,122,0,28
6,-108,122,0,20
7,-108,122,0,28
8,-108,122,0,6
9,-108,122,0,68
5,-109,122,0,30
6,-109,122,0,20
7,-109,122,0,28
8,-109,122,0,6
9,-109,122,0,62
5,-110,122,0,30
6,-110,122,0,20
7,-110,122,0,28
8,-110,122,0,5
9,-110,122,0,62
5,-111,122,0,37
6,-111,122,0,21
7,-111,122,0,28
8,-111,122,0,1
9,-111,122,0,62
5,-112,122,0,39
6,-112,122,0,21
7,-112,122,0,28
8,-112,122,0,1
9,-112,122,0,62
5,-113,122,0,41
6,-113,122,0,21
7,-113,122,0,28
8,-113,122,0,2
9,-113,122,0,62
5,-114,122,0,42
6,-114,122,0,22
7,-114,122,0,28
8,-114,122,0,2
9,-114,122,0,62
5,-115,122,0,42
6,-115,122,0,22
7,-115,122,0,28
8,-115,122,0,2
9,-115,122,0,62
5,-116,122,0,43
6,-116,122,0,22
7,-116,122,0,28
8,-116,122,0,2
9,-116,122,0,62
5,-117,122,0,43
6,-117,122,0,23
7,-117,122,0,28
8,-117,122,0,7
9,-117,122,0,62
5,-118,122,0,43
6,-118,122,0,23
7,-118,122,0,28
8,-118,122,0,7
9,-118,122,0,62
5,-119,122,0,43
6,-119,122,0,23
7,-119,122,0,28
8,-119,122,0,7
9,-119,122,0,62
5,-120,122,0,44
6,-120,122,0,24
7,-120,122,0,28
8,-120,122,0,15
9,-120,122,0,62
5,-121,122,0,44
6,-121,122,0,24
7,-121,122,0,28
8,-121,122,0,31
9,-121,122,0,62
5,-122,122,0,44
6,-122,122,0,24
7,-122,122,0,29
8,-122,122,0,35
9,-122,122,0,62
5,-123,122,0,44
6,-123,122,0,24
7,-123,122,0,29
8,-123,122,0,35
9,-123,122,0,42
5,-124,122,0,44
6,-124,122,0,24
7,-124,122,0,29
8,-124,122,0,35
9,-124,122,0,42
5,-125,122,0,45
6,-125,122,0,24
7,-125,122,0,29
8,-125,122,0,36
9,-125,122,0,42
5,-126,122,0,47
6,-126,122,0,24
7,-126,122,0,29
8,-126,122,0,36
9,-126,122,0,42
5,-127,122,0,49
6,-127,122,0,24
