"Tcs","Rc_thresholds","Rh_thresholds","first_Tc_reach_days","MAE"
6,-110,135,0,16.6
7,-110,135,0,15.9
8,-110,135,0,11.6
9,-110,135,0,6.1
5,-115,135,0,11.7
6,-115,135,0,15.7
7,-115,135,0,15.1
8,-115,135,0,10.7
9,-115,135,0,5.9
5,-120,135,0,11
6,-120,135,0,15.2
7,-120,135,0,14.6
8,-120,135,0,10
9,-120,135,0,5.7
5,-125,135,0,12
6,-125,135,0,13.7
7,-125,135,0,13.7
8,-125,135,0,9.7
9,-125,135,0,5.6
5,-130,135,0,33.8
6,-130,135,0,12.7
7,-130,135,0,13.3
8,-130,135,0,9.4
9,-130,135,0,5.2
5,-135,135,0,11.11
6,-135,135,0,11.8
7,-135,135,0,13.2
8,-135,135,0,9.3
9,-135,135,0,4.9
5,-140,135,0,10.67
6,-140,135,0,10.8
7,-140,135,0,12.2
8,-140,135,0,8.7
9,-140,135,0,4.5
5,-145,135,0,14.67
6,-145,135,0,10.3
7,-145,135,0,11.8
8,-145,135,0,8.4
9,-145,135,0,4
5,-150,135,0,34.33
6,-150,135,0,9.1
7,-150,135,0,11.1
8,-150,135,0,8
9,-150,135,0,4.1
5,-90,140,0,18.4
6,-90,140,0,19.2
7,-90,140,0,17.1
8,-90,140,0,12.5
9,-90,140,0,10.4
5,-95,140,0,15.5
6,-95,140,0,17.7
7,-95,140,0,16.5
8,-95,140,0,11.9
9,-95,140,0,10.3
5,-100,140,0,14.6
6,-100,140,0,17.2
7,-100,140,0,15.4
8,-100,140,0,11.6
9,-100,140,0,6.2
5,-105,140,0,13.3
6,-105,140,0,16.6
7,-105,140,0,15.1
8,-105,140,0,11
9,-105,140,0,5.3
5,-110,140,0,12.6
6,-110,140,0,15.7
7,-110,140,0,14.9
8,-110,140,0,10.6
9,-110,140,0,4.9
5,-115,140,0,10.9
6,-115,140,0,14.8
7,-115,140,0,14.1
8,-115,140,0,9.5
9,-115,140,0,4.8
5,-120,140,0,10.3
6,-120,140,0,14.5
7,-120,140,0,13.7
8,-120,140,0,8.8
9,-120,140,0,4.5
5,-125,140,0,11.9
6,-125,140,0,12.8
7,-125,140,0,12.7
8,-125,140,0,8.5
9,-125,140,0,4.5
5,-130,140,0,33.4
6,-130,140,0,11.3
7,-130,140,0,12.4
8,-130,140,0,7.9
9,-130,140,0,4.4
5,-135,140,0,10.44
6,-135,140,0,10.9
7,-135,140,0,11.9
8,-135,140,0,7.9
9,-135,140,0,4.2
5,-140,140,0,10.33
6,-140,140,0,9.8
7,-140,140,0,11.2
8,-140,140,0,7.7
9,-140,140,0,3.9
5,-145,140,0,14.44
6,-145,140,0,9.2
7,-145,140,0,10.9
8,-145,140,0,7.2
9,-145,140,0,3.7
5,-150,140,0,34.33
6,-150,140,0,8.4
7,-150,140,0,10.2
8,-150,140,0,7
9,-150,140,0,3.4
5,-90,145,0,17.4
6,-90,145,0,18.3
7,-90,145,0,16.5
8,-90,145,0,11.4
9,-90,145,0,9.5
5,-95,145,0,15.1
6,-95,145,0,16.7
7,-95,145,0,15.4
8,-95,145,0,10.6
9,-95,145,0,9.1
5,-100,145,0,14.1
6,-100,145,0,16.2
7,-100,145,0,14.5
8,-100,145,0,10.3
9,-100,145,0,5.3
5,-105,145,0,12.8
6,-105,145,0,15.5
7,-105,145,0,14.3
8,-105,145,0,9.7
9,-105,145,0,4.5
5,-110,145,0,11.8
6,-110,145,0,14.9
7,-110,145,0,13.4
8,-110,145,0,9.5
9,-110,145,0,4.5
5,-115,145,0,10.1
6,-115,145,0,14.1
7,-115,145,0,12.7
8,-115,145,0,8.6
9,-115,145,0,4.3
5,-120,145,0,10.1
6,-120,145,0,13.8
7,-120,145,0,12.4
8,-120,145,0,7.9
9,-120,145,0,4
5,-125,145,0,11.2
6,-125,145,0,12
7,-125,145,0,11.6
8,-125,145,0,7.8
9,-125,145,0,4
5,-130,145,0,33.1
6,-130,145,0,10.7
7,-130,145,0,11.4
8,-130,145,0,7.1
9,-130,145,0,3.8
5,-135,145,0,10.22
6,-135,145,0,10.2
7,-135,145,0,11
