"boostings","learning_rates","max_bins","min_data_in_leaf","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"dart",0.1,64,24,16,20,239,0.322,0.929,0.125
"gbdt",0.1,64,24,16,20,56,0.331,0.926,0.133
"dart",0.01,64,24,16,20,150,0.52,0.893,0.159
"gbdt",0.01,64,24,16,20,122,0.392,0.914,0.148
"dart",0.1,32,24,16,20,263,0.326,0.928,0.125
"gbdt",0.1,32,24,16,20,68,0.317,0.933,0.118
"dart",0.01,32,24,16,20,251,0.484,0.91,0.147
"gbdt",0.01,32,24,16,20,318,0.335,0.93,0.125
"dart",0.1,128,48,32,20,233,0.33,0.927,0.128
"gbdt",0.1,128,48,32,20,86,0.317,0.933,0.115
"dart",0.01,128,48,32,20,230,0.515,0.898,0.164
"gbdt",0.01,128,48,32,20,151,0.409,0.904,0.163
"dart",0.1,64,48,32,20,233,0.325,0.931,0.12
"gbdt",0.1,64,48,32,20,84,0.33,0.927,0.12
"dart",0.01,64,48,32,20,179,0.533,0.895,0.17
"gbdt",0.01,64,48,32,20,195,0.386,0.916,0.16
"dart",0.1,32,48,32,20,226,0.339,0.923,0.123
"gbdt",0.1,32,48,32,20,103,0.329,0.93,0.116
"dart",0.01,32,48,32,20,173,0.544,0.891,0.182
"gbdt",0.01,32,48,32,20,174,0.404,0.907,0.165
"dart",0.1,128,24,32,20,208,0.317,0.926,0.123
"gbdt",0.1,128,24,32,20,47,0.317,0.935,0.115
"dart",0.01,128,24,32,20,179,0.502,0.909,0.148
"gbdt",0.01,128,24,32,20,244,0.332,0.928,0.12
"dart",0.1,64,24,32,20,153,0.318,0.931,0.112
"gbdt",0.1,64,24,32,20,50,0.315,0.933,0.116
"dart",0.01,64,24,32,20,179,0.504,0.904,0.142
"gbdt",0.01,64,24,32,20,181,0.354,0.924,0.137
"dart",0.1,32,24,32,20,84,0.334,0.924,0.121
"gbdt",0.1,32,24,32,20,50,0.319,0.932,0.114
"dart",0.01,32,24,32,20,192,0.508,0.905,0.141
"gbdt",0.01,32,24,32,20,238,0.345,0.923,0.125
"dart",0.1,128,48,64,20,331,0.319,0.933,0.123
"gbdt",0.1,128,48,64,20,94,0.335,0.927,0.121
"dart",0.01,128,48,64,20,150,0.541,0.888,0.176
"gbdt",0.01,128,48,64,20,165,0.407,0.912,0.163
"dart",0.1,64,48,64,20,290,0.333,0.93,0.132
"gbdt",0.1,64,48,64,20,58,0.341,0.925,0.129
"dart",0.01,64,48,64,20,150,0.541,0.888,0.176
"gbdt",0.01,64,48,64,20,500,0.339,0.926,0.127
"dart",0.1,32,48,64,20,150,0.349,0.922,0.136
"gbdt",0.1,32,48,64,20,87,0.332,0.931,0.126
"dart",0.01,32,48,64,20,150,0.542,0.891,0.182
"gbdt",0.01,32,48,64,20,149,0.414,0.903,0.168
"dart",0.1,128,24,64,20,227,0.308,0.937,0.11
"gbdt",0.1,128,24,64,20,46,0.325,0.928,0.121
"dart",0.01,128,24,64,20,143,0.519,0.908,0.15
"gbdt",0.01,128,24,64,20,312,0.323,0.928,0.122
"dart",0.1,64,24,64,20,98,0.328,0.926,0.123
"gbdt",0.1,64,24,64,20,50,0.317,0.934,0.119
"dart",0.01,64,24,64,20,144,0.516,0.906,0.147
"gbdt",0.01,64,24,64,20,143,0.375,0.919,0.135
"dart",0.1,32,24,64,20,175,0.321,0.93,0.121
"gbdt",0.1,32,24,64,20,53,0.325,0.927,0.122
"dart",0.01,32,24,64,20,146,0.521,0.902,0.151
"gbdt",0.01,32,24,64,20,168,0.362,0.921,0.13
"dart",0.1,128,48,16,10,194,0.334,0.932,0.128
"gbdt",0.1,128,48,16,10,99,0.326,0.933,0.125
"dart",0.01,128,48,16,10,233,0.511,0.901,0.175
"gbdt",0.01,128,48,16,10,192,0.394,0.907,0.164
"dart",0.1,64,48,16,10,229,0.332,0.929,0.125
"gbdt",0.1,64,48,16,10,97,0.328,0.931,0.12
"dart",0.01,64,48,16,10,179,0.536,0.888,0.176
"gbdt",0.01,64,48,16,10,140,0.418,0.902,0.173
"dart",0.1,32,48,16,10,150,0.347,0.925,0.124
"gbdt",0.1,32,48,16,10,81,0.326,0.93,0.122
"dart",0.01,32,48,16,10,150,0.542,0.889,0.178
"gbdt",0.01,32,48,16,10,142,0.416,0.906,0.164
"dart",0.1,128,24,16,10,97,0.33,0.928,0.129
"gbdt",0.1,128,24,16,10,62,0.328,0.927,0.121
"dart",0.01,128,24,16,10,146,0.518,0.904,0.157
"gbdt",0.01,128,24,16,10,403,0.325,0.931,0.12
"dart",0.1,64,24,16,10,213,0.321,0.93,0.123
"gbdt",0.1,64,24,16,10,50,0.326,0.929,0.124
"dart",0.01,64,24,16,10,150,0.519,0.891,0.16
"gbdt",0.01,64,24,16,10,129,0.388,0.913,0.14
"dart",0.1,32,24,16,10,102,0.33,0.929,0.125
"gbdt",0.1,32,24,16,10,63,0.332,0.925,0.124
"dart",0.01,32,24,16,10,102,0.528,0.901,0.158
