"boostings","learning_rates","max_bins","min_data_in_leaf","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"gbdt",0.1,128,24,64,40,41,0.308,0.937,0.118
"gbdt",0.1,128,24,64,40,41,0.308,0.937,0.118
"gbdt",0.1,256,24,128,20,47,0.317,0.933,0.114
