"boostings","learning_rates","max_bins","min_data_in_leaf","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"gbdt",0.1,255,60,64,10,54,0.51,0.802,0.285
"gbdt",0.01,255,60,64,10,21,0.633,0.738,0.379
"gbdt",0.1,500,60,64,10,60,0.504,0.806,0.269
"gbdt",0.01,500,60,64,10,21,0.632,0.743,0.379
"gbdt",0.1,125,60,64,10,72,0.501,0.812,0.26
"gbdt",0.01,125,60,64,10,21,0.634,0.734,0.379
"gbdt",0.1,255,24,128,10,42,0.51,0.809,0.271
"gbdt",0.01,255,24,128,10,216,0.516,0.802,0.28
"gbdt",0.1,500,24,128,10,38,0.514,0.804,0.272
"gbdt",0.01,500,24,128,10,21,0.624,0.766,0.379
"gbdt",0.1,125,24,128,10,38,0.497,0.819,0.256
"gbdt",0.01,125,24,128,10,21,0.624,0.766,0.379
"gbdt",0.1,255,48,128,10,44,0.509,0.803,0.276
"gbdt",0.01,255,48,128,10,21,0.632,0.749,0.379
"gbdt",0.1,500,48,128,10,67,0.502,0.81,0.271
"gbdt",0.01,500,48,128,10,21,0.632,0.731,0.379
"gbdt",0.1,125,48,128,10,55,0.503,0.811,0.276
"gbdt",0.01,125,48,128,10,21,0.631,0.742,0.379
"gbdt",0.1,255,60,128,10,68,0.514,0.8,0.28
"gbdt",0.01,255,60,128,10,21,0.634,0.732,0.379
"gbdt",0.1,500,60,128,10,78,0.513,0.801,0.275
"gbdt",0.01,500,60,128,10,21,0.635,0.72,0.379
"gbdt",0.1,125,60,128,10,69,0.507,0.808,0.273
"gbdt",0.01,125,60,128,10,21,0.633,0.74,0.379
"gbdt",0.1,255,24,31,20,46,0.503,0.813,0.27
"gbdt",0.01,255,24,31,20,21,0.623,0.763,0.379
"gbdt",0.1,500,24,31,20,35,0.51,0.804,0.272
"gbdt",0.01,500,24,31,20,21,0.625,0.762,0.379
"gbdt",0.1,125,24,31,20,40,0.507,0.807,0.279
"gbdt",0.01,125,24,31,20,21,0.625,0.757,0.379
"gbdt",0.1,255,48,31,20,42,0.507,0.805,0.272
"gbdt",0.01,255,48,31,20,21,0.631,0.744,0.379
"gbdt",0.1,500,48,31,20,35,0.517,0.798,0.283
"gbdt",0.01,500,48,31,20,21,0.631,0.749,0.379
"gbdt",0.1,125,48,31,20,43,0.507,0.806,0.275
"gbdt",0.01,125,48,31,20,21,0.63,0.755,0.379
"gbdt",0.1,255,60,31,20,45,0.509,0.803,0.283
"gbdt",0.01,255,60,31,20,21,0.632,0.735,0.379
"gbdt",0.1,500,60,31,20,54,0.51,0.802,0.279
"gbdt",0.01,500,60,31,20,21,0.633,0.736,0.379
"gbdt",0.1,125,60,31,20,68,0.505,0.807,0.279
"gbdt",0.01,125,60,31,20,21,0.634,0.733,0.379
"gbdt",0.1,255,24,64,20,30,0.506,0.809,0.276
"gbdt",0.01,255,24,64,20,21,0.623,0.765,0.379
"gbdt",0.1,500,24,64,20,32,0.513,0.804,0.273
"gbdt",0.01,500,24,64,20,21,0.623,0.766,0.379
"gbdt",0.1,125,24,64,20,30,0.502,0.813,0.263
"gbdt",0.01,125,24,64,20,21,0.622,0.771,0.379
"gbdt",0.1,255,48,64,20,43,0.511,0.802,0.281
"gbdt",0.01,255,48,64,20,21,0.631,0.752,0.379
"gbdt",0.1,500,48,64,20,45,0.514,0.801,0.273
"gbdt",0.01,500,48,64,20,21,0.632,0.738,0.379
"gbdt",0.1,125,48,64,20,67,0.5,0.815,0.269
"gbdt",0.01,125,48,64,20,21,0.631,0.748,0.379
"gbdt",0.1,255,60,64,20,50,0.516,0.796,0.288
"gbdt",0.01,255,60,64,20,21,0.633,0.733,0.379
"gbdt",0.1,500,60,64,20,60,0.512,0.802,0.273
"gbdt",0.01,500,60,64,20,21,0.632,0.738,0.379
"gbdt",0.1,125,60,64,20,60,0.497,0.815,0.271
