"Tcs","Rc_thresholds","Rh_thresholds","first_Tc_reach_days","MAE"
7,-140,135,0,4.12
8,-140,135,0,1.5
9,-140,135,0,6.75
5,-145,135,0,8
6,-145,135,0,5
7,-145,135,0,3.75
8,-145,135,0,1.75
9,-145,135,0,6.75
5,-150,135,0,9.38
6,-150,135,0,4.88
7,-150,135,0,3.5
8,-150,135,0,1.88
9,-150,135,0,6.75
5,-90,140,0,13.62
6,-90,140,0,11
7,-90,140,0,4.75
8,-90,140,0,1.5
9,-90,140,0,4.75
5,-95,140,0,10.5
6,-95,140,0,10.62
7,-95,140,0,4.25
8,-95,140,0,1.88
9,-95,140,0,4.75
5,-100,140,0,9.38
6,-100,140,0,10.25
7,-100,140,0,4.12
8,-100,140,0,1.88
9,-100,140,0,5
5,-105,140,0,8.88
6,-105,140,0,8.5
7,-105,140,0,4.12
8,-105,140,0,1.75
9,-105,140,0,5.5
5,-110,140,0,7.88
6,-110,140,0,7.38
7,-110,140,0,4
8,-110,140,0,2.12
9,-110,140,0,6
5,-115,140,0,7.25
6,-115,140,0,7
7,-115,140,0,4
8,-115,140,0,2.12
9,-115,140,0,6.12
5,-120,140,0,6.62
6,-120,140,0,5.75
7,-120,140,0,3.75
8,-120,140,0,2.12
9,-120,140,0,7.12
5,-125,140,0,6.25
6,-125,140,0,5.38
7,-125,140,0,3.62
8,-125,140,0,2.12
9,-125,140,0,7.38
5,-130,140,0,5.88
6,-130,140,0,5.25
7,-130,140,0,3.75
8,-130,140,0,2.12
9,-130,140,0,7.62
5,-135,140,0,6.88
6,-135,140,0,4.88
7,-135,140,0,3.38
8,-135,140,0,2.12
9,-135,140,0,8
5,-140,140,0,7.38
6,-140,140,0,4.5
7,-140,140,0,3.5
8,-140,140,0,2.12
9,-140,140,0,8.12
5,-145,140,0,8.12
6,-145,140,0,4.62
7,-145,140,0,3.12
8,-145,140,0,2.25
9,-145,140,0,8.25
5,-150,140,0,9.88
6,-150,140,0,4.62
7,-150,140,0,3
8,-150,140,0,2.38
9,-150,140,0,8.25
5,-90,145,0,13
6,-90,145,0,9
7,-90,145,0,3.88
8,-90,145,0,1.5
9,-90,145,0,6.25
5,-95,145,0,10
6,-95,145,0,8.75
7,-95,145,0,3.62
8,-95,145,0,1.62
9,-95,145,0,6.25
5,-100,145,0,8.25
6,-100,145,0,8.38
7,-100,145,0,3.5
8,-100,145,0,1.75
9,-100,145,0,7.25
5,-105,145,0,7.62
6,-105,145,0,7.25
7,-105,145,0,3.62
8,-105,145,0,2
9,-105,145,0,7.88
5,-110,145,0,7
6,-110,145,0,6.62
7,-110,145,0,3.62
8,-110,145,0,2.25
9,-110,145,0,8.5
5,-115,145,0,6.5
6,-115,145,0,6.12
7,-115,145,0,3.75
8,-115,145,0,2.38
9,-115,145,0,8.62
5,-120,145,0,6.5
6,-120,145,0,5.25
7,-120,145,0,3.38
8,-120,145,0,2.5
9,-120,145,0,8.88
5,-125,145,0,6.25
6,-125,145,0,4.88
7,-125,145,0,3.25
8,-125,145,0,2.5
9,-125,145,0,9.12
5,-130,145,0,5.62
6,-130,145,0,4.5
7,-130,145,0,2.75
8,-130,145,0,2.5
9,-130,145,0,9.62
5,-135,145,0,7.12
6,-135,145,0,4.12
7,-135,145,0,2.75
8,-135,145,0,2.62
9,-135,145,0,9.88
5,-140,145,0,7.5
6,-140,145,0,3.88
7,-140,145,0,2.88
8,-140,145,0,2.62
9,-140,145,0,9.88
5,-145,145,0,8.25
6,-145,145,0,4.12
7,-145,145,0,2.62
8,-145,145,0,2.75
9,-145,145,0,10
5,-150,145,0,9.75
6,-150,145,0,4.25
7,-150,145,0,2.38
8,-150,145,0,3.25
9,-150,145,0,10
5,-90,150,0,11.88
6,-90,150,0,8.12
7,-90,150,0,3.5
8,-90,150,0,2
9,-90,150,0,8.5
5,-95,150,0,8.75
6,-95,150,0,7.75
7,-95,150,0,3.5
8,-95,150,0,2.25
9,-95,150,0,8.5
5,-100,150,0,7.62
6,-100,150,0,7.25
7,-100,150,0,3.12
8,-100,150,0,2.25
9,-100,150,0,8.75
5,-105,150,0,6.88
6,-105,150,0,6.5
7,-105,150,0,3.12
8,-105,150,0,2.75
9,-105,150,0,9.25
5,-110,150,0,6.38
6,-110,150,0,5.62
7,-110,150,0,3.12
8,-110,150,0,3.25
9,-110,150,0,9.62
5,-115,150,0,6.38
6,-115,150,0,5.38
7,-115,150,0,3.12
8,-115,150,0,3.25
9,-115,150,0,9.75
5,-120,150,0,5.75
6,-120,150,0,4.62
7,-120,150,0,3.12
8,-120,150,0,3.25
9,-120,150,0,10.12
5,-125,150,0,5.75
6,-125,150,0,4.12
7,-125,150,0,3.12
8,-125,150,0,3.62
9,-125,150,0,10.75
5,-130,150,0,5.88
6,-130,150,0,4
7,-130,150,0,2.38
8,-130,150,0,3.62
9,-130,150,0,10.88
5,-135,150,0,7.25
6,-135,150,0,3.62
7,-135,150,0,2.12
8,-135,150,0,3.62
9,-135,150,0,11
5,-140,150,0,7.5
6,-140,150,0,3.88
7,-140,150,0,2.38
8,-140,150,0,3.62
9,-140,150,0,11
5,-145,150,0,9.12
6,-145,150,0,4.25
7,-145,150,0,2
8,-145,150,0,3.75
9,-145,150,0,11.12
5,-150,150,0,10.12
6,-150,150,0,4.62
7,-150,150,0,1.75
8,-150,150,0,4.25
9,-150,150,0,11.12
5,-90,155,0,10.5
6,-90,155,0,6.88
7,-90,155,0,3.25
8,-90,155,0,2.75
9,-90,155,0,10
5,-95,155,0,7.5
6,-95,155,0,6.75
7,-95,155,0,2.88
8,-95,155,0,2.88
9,-95,155,0,10.12
5,-100,155,0,6.38
6,-100,155,0,6.12
7,-100,155,0,2.75
8,-100,155,0,3.12
9,-100,155,0,10.12
5,-105,155,0,6.12
6,-105,155,0,5.25
7,-105,155,0,2.75
8,-105,155,0,3.5
9,-105,155,0,10.62
5,-110,155,0,5.75
6,-110,155,0,5
7,-110,155,0,2.75
8,-110,155,0,4.25
9,-110,155,0,11
5,-115,155,0,5.88
6,-115,155,0,5
7,-115,155,0,2.75
8,-115,155,0,4.25
9,-115,155,0,11.12
5,-120,155,0,5.25
6,-120,155,0,4.38
7,-120,155,0,2.5
8,-120,155,0,4.75
9,-120,155,0,11.38
5,-125,155,0,5.5
6,-125,155,0,3.88
7,-125,155,0,2.25
8,-125,155,0,5
9,-125,155,0,11.62
5,-130,155,0,5.75
6,-130,155,0,3.25
7,-130,155,0,2
8,-130,155,0,5
9,-130,155,0,11.75
5,-135,155,0,7.38
6,-135,155,0,3.5
7,-135,155,0,2
8,-135,155,0,5
9,-135,155,0,12.62
5,-140,155,0,8.12
6,-140,155,0,3.75
7,-140,155,0,2.12
8,-140,155,0,5
9,-140,155,0,12.62
5,-145,155,0,9.12
6,-145,155,0,4.25
7,-145,155,0,2
8,-145,155,0,5.12
9,-145,155,0,12.62
5,-150,155,0,10.5
6,-150,155,0,5.12
7,-150,155,0,2
8,-150,155,0,5.75
9,-150,155,0,12.62
5,-90,160,0,8.75
6,-90,160,0,5.62
7,-90,160,0,3
8,-90,160,0,3.5
9,-90,160,0,11.25
5,-95,160,0,6.75
6,-95,160,0,5.62
7,-95,160,0,2.88
8,-95,160,0,3.75
9,-95,160,0,11.25
5,-100,160,0,5.75
6,-100,160,0,5.12
7,-100,160,0,2.12
8,-100,160,0,3.75
9,-100,160,0,11.38
5,-105,160,0,5.5
6,-105,160,0,4.25
7,-105,160,0,2.12
8,-105,160,0,4.62
9,-105,160,0,11.75
5,-110,160,0,5.12
6,-110,160,0,4.12
7,-110,160,0,2
8,-110,160,0,5.62
9,-110,160,0,12.12
5,-115,160,0,5.12
6,-115,160,0,4.25
7,-115,160,0,2
8,-115,160,0,5.75
9,-115,160,0,12.25
5,-120,160,0,4.62
6,-120,160,0,3.75
7,-120,160,0,1.88
8,-120,160,0,5.88
