"boostings","learning_rates","max_bins","min_data_in_leaf","max_depth","feature_fractions","bagging_fractions","bagging_freqs","lambda_l2s","val_score","test_score"
"gbdt",0.1,1023,20,10,0.8,1,1,0,0.937971909898186,0.922626165988998
"gbdt",0.1,255,12,10,0.8,1,1,0,0.940194591536664,0.934106673044726
"gbdt",0.1,511,12,10,0.8,1,1,0,0.941585825144279,0.925974647213585
"gbdt",0.1,1023,12,10,0.8,1,1,0,0.941585825144279,0.925974647213585
"gbdt",0.1,255,40,10,0.8,1,1,0,0.934319556349632,0.915690026309495
"gbdt",0.1,511,40,10,0.8,1,1,0,0.93765617672531,0.910188950011959
"gbdt",0.1,1023,40,10,0.8,1,1,0,0.93765617672531,0.910188950011959
"gbdt",0.1,255,20,20,0.8,1,1,0,0.938780683541479,0.923702463525472
"gbdt",0.1,511,20,20,0.8,1,1,0,0.938815882990479,0.920533365223631
"gbdt",0.1,1023,20,20,0.8,1,1,0,0.938815882990479,0.920533365223631
"gbdt",0.1,255,12,20,0.8,1,1,0,0.939451837830972,0.920234393685721
"gbdt",0.1,511,12,20,0.8,1,1,0,0.939866199478948,0.927469504903133
"gbdt",0.1,1023,12,20,0.8,1,1,0,0.939866199478948,0.927469504903133
"gbdt",0.1,255,40,20,0.8,1,1,0,0.934594177710154,0.909710595551304
"gbdt",0.1,511,40,20,0.8,1,1,0,0.936679231820625,0.91114565893327
"gbdt",0.1,1023,40,20,0.8,1,1,0,0.936679231820625,0.91114565893327
"gbdt",0.1,255,20,-1,1,0.9,1,0,0.941045285226535,0.92083233676154
"gbdt",0.1,511,20,-1,1,0.9,1,0,0.937823824915448,0.920294187993303
"gbdt",0.1,1023,20,-1,1,0.9,1,0,0.937823824915448,0.920294187993303
"gbdt",0.1,255,12,-1,1,0.9,1,0,0.939112682681117,0.918978713226501
"gbdt",0.1,511,12,-1,1,0.9,1,0,0.939435124618437,0.915092083233676
"gbdt",0.1,1023,12,-1,1,0.9,1,0,0.939435124618437,0.915092083233676
"gbdt",0.1,255,40,-1,1,0.9,1,0,0.93493377481201,0.910069361396795
"gbdt",0.1,511,40,-1,1,0.9,1,0,0.934917300208404,0.913896197082038
"gbdt",0.1,1023,40,-1,1,0.9,1,0,0.934917300208404,0.913896197082038
"gbdt",0.1,255,20,10,1,0.9,1,0,0.93798898978219,0.91521167184884
"gbdt",0.1,511,20,10,1,0.9,1,0,0.939052378069611,0.916287969385315
"gbdt",0.1,1023,20,10,1,0.9,1,0,0.939052378069611,0.916287969385315
"gbdt",0.1,255,12,10,1,0.9,1,0,0.938715647388879,0.920413776608467
"gbdt",0.1,511,12,10,1,0.9,1,0,0.938576233680366,0.921191102607032
"gbdt",0.1,1023,12,10,1,0.9,1,0,0.938576233680366,0.921191102607032
"gbdt",0.1,255,40,10,1,0.9,1,0,0.935215980978174,0.918081798612772
"gbdt",0.1,511,40,10,1,0.9,1,0,0.935390432208584,0.91676632384597
"gbdt",0.1,1023,40,10,1,0.9,1,0,0.935390432208584,0.91676632384597
"gbdt",0.1,255,20,20,1,0.9,1,0,0.941045285226535,0.92083233676154
"gbdt",0.1,511,20,20,1,0.9,1,0,0.937823824915448,0.920294187993303
"gbdt",0.1,1023,20,20,1,0.9,1,0,0.937823824915448,0.920294187993303
"gbdt",0.1,255,12,20,1,0.9,1,0,0.939112682681117,0.918978713226501
"gbdt",0.1,511,12,20,1,0.9,1,0,0.939746637799735,0.915092083233676
"gbdt",0.1,1023,12,20,1,0.9,1,0,0.939746637799735,0.915092083233676
"gbdt",0.1,255,40,20,1,0.9,1,0,0.93493377481201,0.910069361396795
"gbdt",0.1,511,40,20,1,0.9,1,0,0.934917300208404,0.913896197082038
"gbdt",0.1,1023,40,20,1,0.9,1,0,0.934917300208404,0.913896197082038
"gbdt",0.1,255,20,-1,0.9,0.9,1,0,0.939587000174531,0.9183209758431
"gbdt",0.1,511,20,-1,0.9,0.9,1,0,0.938681860442457,0.919935422147812
"gbdt",0.1,1023,20,-1,0.9,0.9,1,0,0.938681860442457,0.919935422147812
"gbdt",0.1,255,12,-1,0.9,0.9,1,0,0.942675548928793,0.90959100693614
"gbdt",0.1,511,12,-1,0.9,0.9,1,0,0.939830146175878,0.920951925376704
"gbdt",0.1,1023,12,-1,0.9,0.9,1,0,0.939830146175878,0.920951925376704
"gbdt",0.1,255,40,-1,0.9,0.9,1,0,0.938347011697201,0.915809614924659
"gbdt",0.1,511,40,-1,0.9,0.9,1,0,0.936897810989234,0.912461133700072
"gbdt",0.1,1023,40,-1,0.9,0.9,1,0,0.936897810989234,0.912461133700072
"gbdt",0.1,255,20,10,0.9,0.9,1,0,0.940519143820095,0.914015785697202
"gbdt",0.1,511,20,10,0.9,0.9,1,0,0.938325619336332,0.923582874910309
"gbdt",0.1,1023,20,10,0.9,0.9,1,0,0.938325619336332,0.923582874910309
"gbdt",0.1,255,12,10,0.9,0.9,1,0,0.941570050797544,0.918440564458264
"gbdt",0.1,511,12,10,0.9,0.9,1,0,0.941714651077882,0.9183209758431
"gbdt",0.1,1023,12,10,0.9,0.9,1,0,0.941714651077882,0.9183209758431
