"boostings","learning_rates","max_bins","min_data_in_leaf","num_leaves","max_depth","val_score","test_score"
1,0.1,255,24,31,-1,0.326323388751752,0.39833899089023
1,0.1,500,24,31,-1,0.324788129179928,0.405747965212053
1,0.1,125,24,31,-1,0.317994981139232,0.423148292420437
1,0.1,255,48,31,-1,0.315784302635234,0.405817878105268
1,0.1,500,48,31,-1,0.313731122683754,0.383336421688871
1,0.1,125,48,31,-1,0.308757582325333,0.414412577203209
1,0.1,255,60,31,-1,0.31186026762674,0.415548872855651
1,0.1,500,60,31,-1,0.313336226547986,0.387991884805825
1,0.1,125,60,31,-1,0.309621447859184,0.39468510571937
1,0.1,255,24,64,-1,0.327310958690894,0.412422518925913
1,0.1,500,24,64,-1,0.326214602794441,0.404473000966655
1,0.1,125,24,64,-1,0.320410491377371,0.422621202736476
1,0.1,255,48,64,-1,0.315784507266687,0.405817954622898
1,0.1,500,48,64,-1,0.313731125275909,0.391648964288054
1,0.1,125,48,64,-1,0.30875758733964,0.414412577203209
1,0.1,255,60,64,-1,0.31186026762674,0.415548872855651
1,0.1,500,60,64,-1,0.313336226547986,0.387991884805825
1,0.1,125,60,64,-1,0.309621447859184,0.39468510571937
1,0.1,255,24,128,-1,0.327310958690894,0.414101272488394
1,0.1,500,24,128,-1,0.326214602794441,0.404472997649989
1,0.1,125,24,128,-1,0.320410491377371,0.422621202736476
1,0.1,255,48,128,-1,0.315784507266687,0.405817954622899
1,0.1,500,48,128,-1,0.313731125275909,0.391648964288054
1,0.1,125,48,128,-1,0.30875758733964,0.414412577203209
1,0.1,255,60,128,-1,0.31186026762674,0.415548872855651
1,0.1,500,60,128,-1,0.313336226547986,0.387991884805825
1,0.1,125,60,128,-1,0.309621447859184,0.39468510571937
1,0.1,255,24,31,10,0.323294573251722,0.398232924297821
1,0.1,500,24,31,10,0.320828351898327,0.380762240251178
1,0.1,125,24,31,10,0.314646516811383,0.406756940297009
1,0.1,255,48,31,10,0.31686723681345,0.393231431163501
1,0.1,500,48,31,10,0.313911852529567,0.415069929541454
1,0.1,125,48,31,10,0.310106273782486,0.407741678852908
1,0.1,255,60,31,10,0.311154920499838,0.406740181916516
1,0.1,500,60,31,10,0.313147557779998,0.379942934439558
1,0.1,125,60,31,10,0.309885179878639,0.399268385836915
1,0.1,255,24,64,10,0.321148587151132,0.433416894408289
1,0.1,500,24,64,10,0.322829194422556,0.395821181264203
1,0.1,125,24,64,10,0.316764076578599,0.405672474011989
1,0.1,255,48,64,10,0.31686723681345,0.393231431163501
1,0.1,500,48,64,10,0.313911852529567,0.415069929541454
1,0.1,125,48,64,10,0.310106273782486,0.407741678852908
1,0.1,255,60,64,10,0.311154920499838,0.406740181916516
1,0.1,500,60,64,10,0.313147557779998,0.379942934439558
1,0.1,125,60,64,10,0.309885179878639,0.399268385836914
1,0.1,255,24,128,10,0.321148587151132,0.433416894408289
1,0.1,500,24,128,10,0.322829194422556,0.395821181264203
1,0.1,125,24,128,10,0.316764076578599,0.405672474011989
1,0.1,255,48,128,10,0.31686723681345,0.393231431163501
1,0.1,500,48,128,10,0.313911852529567,0.415069929541454
1,0.1,125,48,128,10,0.310106273782486,0.407741678852908
1,0.1,255,60,128,10,0.311154920499838,0.406740181916516
1,0.1,500,60,128,10,0.313147557779998,0.379942934439558
1,0.1,125,60,128,10,0.309885179878639,0.399268385836915
1,0.1,255,24,31,20,0.326636948646684,0.39833899089023
1,0.1,500,24,31,20,0.325371574812747,0.405747965212053
1,0.1,125,24,31,20,0.318120165558192,0.423148292420437
1,0.1,255,48,31,20,0.315784344642619,0.405817878105268
1,0.1,500,48,31,20,0.31373095862034,0.383336421688871
1,0.1,125,48,31,20,0.308757582325333,0.414412577203209
1,0.1,255,60,31,20,0.311860267892328,0.415548872855651
1,0.1,500,60,31,20,0.313336226547986,0.387991884805825
1,0.1,125,60,31,20,0.309621447859184,0.39468510571937
1,0.1,255,24,64,20,0.32741994960824,0.420323667306313
1,0.1,500,24,64,20,0.327123429703101,0.411404378348705
1,0.1,125,24,64,20,0.320345223312767,0.422621202736476
1,0.1,255,48,64,20,0.315784550551786,0.405817954622898
1,0.1,500,48,64,20,0.313730961202186,0.391648964288054
1,0.1,125,48,64,20,0.30875758733964,0.414412577203209
1,0.1,255,60,64,20,0.311860267892328,0.415548872855651
1,0.1,500,60,64,20,0.313336226547986,0.387991884805825
1,0.1,125,60,64,20,0.309621447859184,0.39468510571937
1,0.1,255,24,128,20,0.32741994960824,0.420323667287829
1,0.1,500,24,128,20,0.327123429703101,0.411404378348705
1,0.1,125,24,128,20,0.320345223312767,0.422621202736476
1,0.1,255,48,128,20,0.315784550551786,0.405817954622898
1,0.1,500,48,128,20,0.313730961202186,0.391648964288054
1,0.1,125,48,128,20,0.30875758733964,0.414412577203209
1,0.1,255,60,128,20,0.311860267892328,0.415548872855651
1,0.1,500,60,128,20,0.313336226547986,0.387991884805825
1,0.1,125,60,128,20,0.309621447859184,0.39468510571937
