"Tcs","Rc_thresholds","Rh_thresholds","first_Tc_reach_days","MAE"
7,-108,126,0,21.2
8,-108,126,0,16.8
6,-109,126,0,21.5
7,-109,126,0,21.2
8,-109,126,0,16.4
6,-110,126,0,21.5
7,-110,126,0,21.2
8,-110,126,0,16.3
6,-111,126,0,21.1
7,-111,126,0,21
8,-111,126,0,16.2
6,-112,126,0,21
7,-112,126,0,20.9
8,-112,126,0,16.1
6,-113,126,0,20.6
7,-113,126,0,20.6
8,-113,126,0,16
6,-114,126,0,20.4
7,-114,126,0,20.3
8,-114,126,0,15.7
6,-115,126,0,20.3
7,-115,126,0,20.2
8,-115,126,0,15.7
6,-116,126,0,20.1
7,-116,126,0,19.7
8,-116,126,0,15.4
6,-117,126,0,19.9
7,-117,126,0,19.6
8,-117,126,0,15.3
6,-118,126,0,19.2
7,-118,126,0,19.6
8,-118,126,0,15
6,-119,126,0,19.2
7,-119,126,0,19.2
8,-119,126,0,14.9
6,-120,126,0,18.9
7,-120,126,0,19
8,-120,126,0,14.7
6,-121,126,0,18.8
7,-121,126,0,18.7
8,-121,126,0,14.6
6,-122,126,0,18.6
7,-122,126,0,18.6
8,-122,126,0,14.6
6,-123,126,0,18.3
7,-123,126,0,18.4
8,-123,126,0,14.6
6,-124,126,0,18.2
7,-124,126,0,18.2
8,-124,126,0,14.5
6,-125,126,0,17.9
7,-125,126,0,18.1
8,-125,126,0,14.4
6,-126,126,0,17.7
7,-126,126,0,18.1
8,-126,126,0,14.3
6,-127,126,0,17
7,-127,126,0,18
8,-127,126,0,14.2
6,-128,126,0,16.8
7,-128,126,0,18
8,-128,126,0,14.2
6,-129,126,0,16.8
7,-129,126,0,18
8,-129,126,0,14.2
6,-130,126,0,16.4
7,-130,126,0,17.2
8,-130,126,0,14.2
6,-131,126,0,16.2
7,-131,126,0,17.1
8,-131,126,0,14.1
6,-132,126,0,16.2
7,-132,126,0,17
8,-132,126,0,14.1
6,-133,126,0,16.1
7,-133,126,0,16.9
8,-133,126,0,14.1
6,-134,126,0,16
7,-134,126,0,16.6
8,-134,126,0,13.8
6,-135,126,0,15.7
7,-135,126,0,16.3
8,-135,126,0,13.8
6,-136,126,0,15.3
7,-136,126,0,16.3
8,-136,126,0,13.7
6,-137,126,0,15.3
7,-137,126,0,16.2
8,-137,126,0,13.5
6,-138,126,0,14.4
7,-138,126,0,16
8,-138,126,0,13.5
6,-139,126,0,14.1
7,-139,126,0,15.9
8,-139,126,0,13.5
6,-140,126,0,14.1
7,-140,126,0,15.8
8,-140,126,0,13.5
6,-95,127,0,24.7
7,-95,127,0,22.1
8,-95,127,0,17.6
6,-96,127,0,24.5
7,-96,127,0,22.1
8,-96,127,0,17.3
6,-97,127,0,24
7,-97,127,0,21.9
8,-97,127,0,17.1
6,-98,127,0,23
7,-98,127,0,21.9
8,-98,127,0,17
6,-99,127,0,23
7,-99,127,0,21.5
8,-99,127,0,16.8
6,-100,127,0,22.7
7,-100,127,0,21.4
8,-100,127,0,16.7
6,-101,127,0,22.6
7,-101,127,0,21.4
8,-101,127,0,16.6
6,-102,127,0,22.5
7,-102,127,0,21.4
8,-102,127,0,16.5
6,-103,127,0,22.3
7,-103,127,0,21.3
8,-103,127,0,16.5
6,-104,127,0,22.3
7,-104,127,0,21.3
8,-104,127,0,16.5
6,-105,127,0,22
7,-105,127,0,21.3
8,-105,127,0,16.5
6,-106,127,0,21.9
7,-106,127,0,21
8,-106,127,0,16.3
6,-107,127,0,21.8
7,-107,127,0,21
