"Tcs","Rc_thresholds","Rh_thresholds","first_Tc_reach_days","MAE"
8,-120,121,0,15.7
6,-121,121,0,19.9
7,-121,121,0,20.4
8,-121,121,0,15.6
6,-122,121,0,19.8
7,-122,121,0,20.2
8,-122,121,0,15.5
6,-123,121,0,19.4
7,-123,121,0,19.8
8,-123,121,0,15.4
6,-124,121,0,19.4
7,-124,121,0,19.7
8,-124,121,0,15.4
6,-125,121,0,19.3
7,-125,121,0,19.5
8,-125,121,0,15.4
6,-126,121,0,19.1
7,-126,121,0,19.5
8,-126,121,0,15.4
6,-127,121,0,18.4
7,-127,121,0,19.4
8,-127,121,0,15.4
6,-128,121,0,17.8
7,-128,121,0,19.1
8,-128,121,0,15.4
6,-129,121,0,17.7
7,-129,121,0,19
8,-129,121,0,15.4
6,-130,121,0,17.2
7,-130,121,0,18.5
8,-130,121,0,15.3
6,-131,121,0,17.1
7,-131,121,0,18.4
8,-131,121,0,15.2
6,-132,121,0,17
7,-132,121,0,18.4
8,-132,121,0,15.2
6,-133,121,0,16.9
7,-133,121,0,18.1
8,-133,121,0,15.2
6,-134,121,0,16.8
7,-134,121,0,17.8
8,-134,121,0,15.1
6,-135,121,0,16.7
7,-135,121,0,17.4
8,-135,121,0,15.1
6,-136,121,0,16.5
7,-136,121,0,17.4
8,-136,121,0,15.1
6,-137,121,0,16.4
7,-137,121,0,17.2
8,-137,121,0,15
6,-138,121,0,15.4
7,-138,121,0,17.1
8,-138,121,0,15
6,-139,121,0,14.9
7,-139,121,0,17
8,-139,121,0,15
6,-140,121,0,14.9
7,-140,121,0,16.8
8,-140,121,0,15
6,-95,122,0,25.4
7,-95,122,0,23.2
8,-95,122,0,19.1
6,-96,122,0,25.2
7,-96,122,0,23.2
8,-96,122,0,19
6,-97,122,0,24.9
7,-97,122,0,23
8,-97,122,0,18.7
6,-98,122,0,24.1
7,-98,122,0,23
8,-98,122,0,18.6
6,-99,122,0,24.1
7,-99,122,0,22.5
8,-99,122,0,18.4
6,-100,122,0,23.9
7,-100,122,0,22.4
8,-100,122,0,18.3
6,-101,122,0,23.8
7,-101,122,0,22.3
8,-101,122,0,18.3
6,-102,122,0,23.8
7,-102,122,0,22.2
8,-102,122,0,18.2
6,-103,122,0,23.7
7,-103,122,0,22.1
8,-103,122,0,18.2
6,-104,122,0,23.7
7,-104,122,0,22.1
8,-104,122,0,18.2
6,-105,122,0,23.5
7,-105,122,0,22.1
8,-105,122,0,18.1
6,-106,122,0,23.4
7,-106,122,0,22
8,-106,122,0,18
6,-107,122,0,23.2
7,-107,122,0,22
8,-107,122,0,18
6,-108,122,0,22.9
7,-108,122,0,22
8,-108,122,0,18
6,-109,122,0,22.3
7,-109,122,0,22
8,-109,122,0,17.9
6,-110,122,0,22.1
7,-110,122,0,22
8,-110,122,0,17.7
6,-111,122,0,21.9
7,-111,122,0,22
8,-111,122,0,17.5
6,-112,122,0,21.8
7,-112,122,0,21.6
8,-112,122,0,17.3
6,-113,122,0,21.5
7,-113,122,0,21.5
8,-113,122,0,17.2
6,-114,122,0,21.4
7,-114,122,0,21.2
8,-114,122,0,17
6,-115,122,0,21.3
7,-115,122,0,21.2
8,-115,122,0,17
6,-116,122,0,20.8
7,-116,122,0,21
8,-116,122,0,16.9
6,-117,122,0,20.7
7,-117,122,0,20.9
8,-117,122,0,16.8
6,-118,122,0,19.9
7,-118,122,0,20.8
8,-118,122,0,16.3
6,-119,122,0,19.9
7,-119,122,0,20.6
8,-119,122,0,16
6,-120,122,0,19.8
7,-120,122,0,20.6
8,-120,122,0,15.7
6,-121,122,0,19.6
7,-121,122,0,20.2
8,-121,122,0,15.6
6,-122,122,0,19.4
7,-122,122,0,19.9
8,-122,122,0,15.5
6,-123,122,0,19.1
7,-123,122,0,19.7
8,-123,122,0,15.4
6,-124,122,0,19.1
7,-124,122,0,19.6
8,-124,122,0,15.4
6,-125,122,0,18.8
7,-125,122,0,19.4
8,-125,122,0,15.4
6,-126,122,0,18.7
7,-126,122,0,19.4
8,-126,122,0,15.3
6,-127,122,0,18
7,-127,122,0,19.3
8,-127,122,0,15.3
6,-128,122,0,17.7
7,-128,122,0,18.9
8,-128,122,0,15.2
6,-129,122,0,17.7
7,-129,122,0,18.8
8,-129,122,0,15.2
6,-130,122,0,17.1
7,-130,122,0,18.3
8,-130,122,0,15.2
6,-131,122,0,16.8
7,-131,122,0,18
8,-131,122,0,15
6,-132,122,0,16.8
7,-132,122,0,17.8
8,-132,122,0,15
6,-133,122,0,16.6
7,-133,122,0,17.5
8,-133,122,0,15
6,-134,122,0,16.5
7,-134,122,0,17.5
8,-134,122,0,14.9
6,-135,122,0,16.4
7,-135,122,0,17.2
8,-135,122,0,14.9
6,-136,122,0,16.2
7,-136,122,0,17.1
8,-136,122,0,14.9
6,-137,122,0,16.2
7,-137,122,0,16.9
8,-137,122,0,14.8
6,-138,122,0,15.3
7,-138,122,0,16.7
8,-138,122,0,14.8
6,-139,122,0,14.7
7,-139,122,0,16.7
8,-139,122,0,14.7
6,-140,122,0,14.7
7,-140,122,0,16.7
8,-140,122,0,14.7
6,-95,123,0,25.2
7,-95,123,0,23.1
8,-95,123,0,18.7
6,-96,123,0,25
7,-96,123,0,23.1
8,-96,123,0,18.6
6,-97,123,0,24.8
7,-97,123,0,22.8
8,-97,123,0,18.4
6,-98,123,0,23.9
7,-98,123,0,22.7
8,-98,123,0,18.2
6,-99,123,0,23.9
7,-99,123,0,22.2
8,-99,123,0,18.1
6,-100,123,0,23.8
7,-100,123,0,22.1
8,-100,123,0,18.1
6,-101,123,0,23.7
7,-101,123,0,22
8,-101,123,0,18.1
6,-102,123,0,23.5
7,-102,123,0,22
8,-102,123,0,18
6,-103,123,0,23.4
7,-103,123,0,22
8,-103,123,0,18
6,-104,123,0,23.3
7,-104,123,0,21.9
8,-104,123,0,18
6,-105,123,0,23.3
7,-105,123,0,21.9
8,-105,123,0,17.8
6,-106,123,0,23.1
7,-106,123,0,21.8
8,-106,123,0,17.7
6,-107,123,0,22.9
7,-107,123,0,21.8
8,-107,123,0,17.5
6,-108,123,0,22.7
7,-108,123,0,21.8
8,-108,123,0,17.5
6,-109,123,0,22.2
7,-109,123,0,21.7
8,-109,123,0,17.5
6,-110,123,0,22
7,-110,123,0,21.7
8,-110,123,0,17.3
6,-111,123,0,21.7
7,-111,123,0,21.4
8,-111,123,0,17.3
6,-112,123,0,21.6
7,-112,123,0,21.2
8,-112,123,0,17.1
6,-113,123,0,21.5
7,-113,123,0,21.2
8,-113,123,0,17.1
6,-114,123,0,21.3
7,-114,123,0,21.2
8,-114,123,0,16.6
6,-115,123,0,21.1
7,-115,123,0,21.2
8,-115,123,0,16.5
6,-116,123,0,20.7
7,-116,123,0,20.8
8,-116,123,0,16.3
6,-117,123,0,20.4
7,-117,123,0,20.7
8,-117,123,0,16.3
6,-118,123,0,19.8
7,-118,123,0,20.6
8,-118,123,0,15.9
6,-119,123,0,19.8
7,-119,123,0,20.3
8,-119,123,0,15.7
6,-120,123,0,19.6
7,-120,123,0,20.1
8,-120,123,0,15.5
6,-121,123,0,19.4
7,-121,123,0,19.8
8,-121,123,0,15.3
6,-122,123,0,19.2
7,-122,123,0,19.5
8,-122,123,0,15.2
6,-123,123,0,18.8
7,-123,123,0,19.4
8,-123,123,0,15.2
6,-124,123,0,18.8
7,-124,123,0,19.3
8,-124,123,0,15.2
6,-125,123,0,18.4
7,-125,123,0,19
8,-125,123,0,15.2
6,-126,123,0,18.4
7,-126,123,0,18.9
8,-126,123,0,15.2
6,-127,123,0,17.8
7,-127,123,0,18.8
8,-127,123,0,15.2
6,-128,123,0,17.5
7,-128,123,0,18.6
8,-128,123,0,15
6,-129,123,0,17.4
7,-129,123,0,18.5
8,-129,123,0,15
6,-130,123,0,17
7,-130,123,0,17.9
8,-130,123,0,14.9
6,-131,123,0,16.7
7,-131,123,0,17.8
8,-131,123,0,14.8
6,-132,123,0,16.7
7,-132,123,0,17.6
8,-132,123,0,14.8
6,-133,123,0,16.4
7,-133,123,0,17.3
8,-133,123,0,14.8
6,-134,123,0,16.3
7,-134,123,0,17.1
8,-134,123,0,14.8
6,-135,123,0,16.2
7,-135,123,0,16.9
8,-135,123,0,14.8
6,-136,123,0,15.9
7,-136,123,0,16.9
8,-136,123,0,14.7
6,-137,123,0,15.8
7,-137,123,0,16.8
8,-137,123,0,14.6
6,-138,123,0,14.9
7,-138,123,0,16.7
8,-138,123,0,14.5
6,-139,123,0,14.5
7,-139,123,0,16.7
8,-139,123,0,14.5
6,-140,123,0,14.5
7,-140,123,0,16.6
8,-140,123,0,14.5
6,-95,124,0,25
7,-95,124,0,22.7
8,-95,124,0,18.6
6,-96,124,0,24.8
7,-96,124,0,22.6
8,-96,124,0,18.4
6,-97,124,0,24.7
7,-97,124,0,22.3
8,-97,124,0,18.2
6,-98,124,0,23.7
7,-98,124,0,22.3
8,-98,124,0,18
6,-99,124,0,23.7
7,-99,124,0,22.1
8,-99,124,0,17.9
6,-100,124,0,23.6
7,-100,124,0,22
8,-100,124,0,17.9
6,-101,124,0,23.5
7,-101,124,0,21.8
8,-101,124,0,17.9
6,-102,124,0,23.3
7,-102,124,0,21.8
8,-102,124,0,17.9
6,-103,124,0,23.3
7,-103,124,0,21.8
8,-103,124,0,17.9
6,-104,124,0,23.2
7,-104,124,0,21.8
8,-104,124,0,17.9
6,-105,124,0,23.1
7,-105,124,0,21.8
8,-105,124,0,17.8
6,-106,124,0,22.8
7,-106,124,0,21.7
8,-106,124,0,17.7
6,-107,124,0,22.6
7,-107,124,0,21.7
8,-107,124,0,17.4
6,-108,124,0,22.4
7,-108,124,0,21.6
8,-108,124,0,17.4
6,-109,124,0,21.9
7,-109,124,0,21.6
8,-109,124,0,17.3
6,-110,124,0,21.8
7,-110,124,0,21.5
8,-110,124,0,17.2
6,-111,124,0,21.6
7,-111,124,0,21.3
8,-111,124,0,16.9
6,-112,124,0,21.5
7,-112,124,0,21.2
8,-112,124,0,16.7
6,-113,124,0,21.2
7,-113,124,0,21.1
8,-113,124,0,16.7
6,-114,124,0,20.7
7,-114,124,0,21
8,-114,124,0,16.5
6,-115,124,0,20.7
7,-115,124,0,20.9
8,-115,124,0,16.4
6,-116,124,0,20.5
7,-116,124,0,20.4
8,-116,124,0,16.1
6,-117,124,0,20.3
7,-117,124,0,20.3
8,-117,124,0,16.1
6,-118,124,0,19.5
7,-118,124,0,20.3
