"boostings","learning_rates","max_bins","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"gbdt",0.01,300,71,-1,6,0.647,0.832,0.408
"dart",0.001,300,71,-1,999,0.578,0.855,0.214
"gbdt",0.001,300,71,-1,6,0.677,0.847,0.408
"dart",1e-04,300,71,-1,999,0.674,0.812,0.241
"gbdt",1e-04,300,71,-1,6,0.677,0.82,0.408
"dart",0.1,125,71,-1,30,0.428,0.875,0.184
"gbdt",0.1,125,71,-1,6,0.498,0.863,0.209
"dart",0.01,125,71,-1,689,0.451,0.863,0.192
"gbdt",0.01,125,71,-1,6,0.65,0.851,0.408
"dart",0.001,125,71,-1,999,0.57,0.849,0.183
"gbdt",0.001,125,71,-1,6,0.673,0.83,0.408
"dart",1e-04,125,71,-1,999,0.673,0.843,0.227
"gbdt",1e-04,125,71,-1,6,0.676,0.81,0.408
"dart",0.1,75,71,-1,38,0.429,0.887,0.18
"gbdt",0.1,75,71,-1,6,0.5,0.849,0.211
"dart",0.01,75,71,-1,599,0.466,0.837,0.188
"gbdt",0.01,75,71,-1,6,0.644,0.84,0.408
"dart",0.001,75,71,-1,999,0.582,0.829,0.216
"gbdt",0.001,75,71,-1,6,0.677,0.831,0.408
"dart",1e-04,75,71,-1,999,0.674,0.844,0.255
"gbdt",1e-04,75,71,-1,6,0.677,0.81,0.408
"dart",0.1,25,71,-1,42,0.439,0.876,0.172
"gbdt",0.1,25,71,-1,9,0.467,0.842,0.2
"dart",0.01,25,71,-1,783,0.465,0.867,0.202
"gbdt",0.01,25,71,-1,6,0.647,0.848,0.408
"dart",0.001,25,71,-1,999,0.573,0.857,0.201
"gbdt",0.001,25,71,-1,6,0.677,0.832,0.408
"dart",1e-04,25,71,-1,999,0.674,0.868,0.217
"gbdt",1e-04,25,71,-1,6,0.677,0.804,0.408
"dart",0.1,255,31,20,39,0.402,0.898,0.177
"gbdt",0.1,255,31,20,14,0.402,0.9,0.174
"dart",0.01,255,31,20,752,0.404,0.896,0.169
"gbdt",0.01,255,31,20,6,0.644,0.854,0.408
"dart",0.001,255,31,20,999,0.569,0.876,0.178
"gbdt",0.001,255,31,20,6,0.674,0.829,0.408
"dart",1e-04,255,31,20,999,0.674,0.849,0.334
"gbdt",1e-04,255,31,20,6,0.682,0.861,0.408
"dart",0.1,300,31,20,49,0.384,0.901,0.162
"gbdt",0.1,300,31,20,18,0.377,0.911,0.169
"dart",0.01,300,31,20,971,0.396,0.899,0.169
"gbdt",0.01,300,31,20,6,0.646,0.866,0.408
"dart",0.001,300,31,20,999,0.571,0.859,0.18
"gbdt",0.001,300,31,20,6,0.675,0.82,0.408
"dart",1e-04,300,31,20,999,0.674,0.804,0.336
"gbdt",1e-04,300,31,20,6,0.677,0.824,0.408
"dart",0.1,125,31,20,40,0.396,0.9,0.176
"gbdt",0.1,125,31,20,8,0.468,0.864,0.202
"dart",0.01,125,31,20,964,0.387,0.905,0.186
"gbdt",0.01,125,31,20,6,0.647,0.866,0.408
"dart",0.001,125,31,20,999,0.566,0.878,0.173
"gbdt",0.001,125,31,20,6,0.675,0.871,0.408
"dart",1e-04,125,31,20,999,0.673,0.859,0.352
"gbdt",1e-04,125,31,20,6,0.676,0.845,0.408
"dart",0.1,75,31,20,36,0.403,0.892,0.183
"gbdt",0.1,75,31,20,19,0.396,0.894,0.183
"dart",0.01,75,31,20,887,0.39,0.9,0.177
"gbdt",0.01,75,31,20,6,0.647,0.849,0.408
"dart",0.001,75,31,20,999,0.577,0.839,0.197
"gbdt",0.001,75,31,20,6,0.673,0.845,0.408
"dart",1e-04,75,31,20,999,0.674,0.821,0.328
"gbdt",1e-04,75,31,20,6,0.677,0.819,0.408
"dart",0.1,25,31,20,48,0.376,0.91,0.167
"gbdt",0.1,25,31,20,9,0.438,0.895,0.186
"dart",0.01,25,31,20,824,0.373,0.91,0.162
"gbdt",0.01,25,31,20,6,0.647,0.855,0.408
"dart",0.001,25,31,20,999,0.576,0.873,0.198
"gbdt",0.001,25,31,20,6,0.676,0.802,0.408
"dart",1e-04,25,31,20,999,0.673,0.864,0.33
"gbdt",1e-04,25,31,20,6,0.68,0.861,0.408
"dart",0.1,255,51,20,42,0.438,0.882,0.195
"gbdt",0.1,255,51,20,12,0.436,0.881,0.195
"dart",0.01,255,51,20,931,0.413,0.894,0.172
"gbdt",0.01,255,51,20,6,0.647,0.836,0.408
"dart",0.001,255,51,20,999,0.572,0.819,0.189
"gbdt",0.001,255,51,20,6,0.674,0.82,0.408
"dart",1e-04,255,51,20,999,0.675,0.824,0.272
"gbdt",1e-04,255,51,20,6,0.678,0.806,0.408
"dart",0.1,300,51,20,42,0.409,0.896,0.181
"gbdt",0.1,300,51,20,16,0.411,0.895,0.181
"dart",0.01,300,51,20,716,0.415,0.892,0.18
"gbdt",0.01,300,51,20,6,0.647,0.819,0.408
"dart",0.001,300,51,20,999,0.587,0.797,0.235
"gbdt",0.001,300,51,20,6,0.675,0.865,0.408
"dart",1e-04,300,51,20,999,0.673,0.856,0.289
"gbdt",1e-04,300,51,20,6,0.679,0.753,0.408
"dart",0.1,125,51,20,53,0.394,0.902,0.166
"gbdt",0.1,125,51,20,14,0.449,0.858,0.189
"dart",0.01,125,51,20,960,0.422,0.892,0.187
"gbdt",0.01,125,51,20,6,0.644,0.842,0.408
"dart",0.001,125,51,20,996,0.575,0.838,0.2
"gbdt",0.001,125,51,20,6,0.676,0.81,0.408
"dart",1e-04,125,51,20,999,0.674,0.8,0.25
"gbdt",1e-04,125,51,20,6,0.678,0.79,0.408
"dart",0.1,75,51,20,42,0.424,0.879,0.178
"gbdt",0.1,75,51,20,15,0.434,0.867,0.183
"dart",0.01,75,51,20,707,0.434,0.883,0.189
"gbdt",0.01,75,51,20,6,0.645,0.822,0.408
"dart",0.001,75,51,20,999,0.579,0.851,0.223
"gbdt",0.001,75,51,20,6,0.677,0.819,0.408
"dart",1e-04,75,51,20,999,0.674,0.791,0.247
