"boostings","learning_rates","max_bins","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"gbdt",0.01,15,51,-1,6,0.649,0.848,0.408
"dart",0.001,15,51,-1,999,0.577,0.853,0.202
"gbdt",0.001,15,51,-1,6,0.674,0.831,0.408
"dart",1,255,20,20,1,0.436,0.868,0.177
"gbdt",1,255,20,20,1,0.45,0.866,0.187
"dart",0.1,255,20,20,67,0.391,0.898,0.181
"gbdt",0.1,255,20,20,11,0.414,0.912,0.172
"dart",0.01,255,20,20,996,0.376,0.905,0.184
"gbdt",0.01,255,20,20,6,0.644,0.883,0.408
"dart",0.001,255,20,20,999,0.575,0.877,0.183
"gbdt",0.001,255,20,20,6,0.673,0.838,0.408
"dart",1,125,20,20,1,0.442,0.852,0.176
"gbdt",1,125,20,20,1,0.457,0.841,0.197
"dart",0.1,125,20,20,61,0.384,0.898,0.181
"gbdt",0.1,125,20,20,12,0.396,0.911,0.166
"dart",0.01,125,20,20,990,0.372,0.91,0.161
"gbdt",0.01,125,20,20,6,0.648,0.866,0.408
"dart",0.001,125,20,20,999,0.576,0.871,0.188
"gbdt",0.001,125,20,20,6,0.674,0.854,0.408
"dart",1,25,20,20,1,0.416,0.882,0.166
"gbdt",1,25,20,20,1,0.455,0.855,0.189
"dart",0.1,25,20,20,61,0.379,0.902,0.173
"gbdt",0.1,25,20,20,15,0.38,0.915,0.167
"dart",0.01,25,20,20,897,0.378,0.902,0.18
"gbdt",0.01,25,20,20,6,0.648,0.87,0.408
"dart",0.001,25,20,20,999,0.574,0.879,0.181
"gbdt",0.001,25,20,20,6,0.674,0.84,0.408
"dart",1,15,20,20,1,0.452,0.873,0.194
"gbdt",1,15,20,20,1,0.457,0.868,0.199
"dart",0.1,15,20,20,45,0.371,0.908,0.173
"gbdt",0.1,15,20,20,9,0.432,0.896,0.181
"dart",0.01,15,20,20,990,0.366,0.907,0.166
"gbdt",0.01,15,20,20,6,0.647,0.864,0.408
"dart",0.001,15,20,20,999,0.568,0.908,0.181
"gbdt",0.001,15,20,20,6,0.678,0.891,0.408
"dart",1,255,31,20,1,0.455,0.824,0.175
"gbdt",1,255,31,20,1,0.448,0.865,0.181
"dart",0.1,255,31,20,65,0.397,0.9,0.184
"gbdt",0.1,255,31,20,12,0.415,0.894,0.188
"dart",0.01,255,31,20,972,0.402,0.893,0.18
"gbdt",0.01,255,31,20,6,0.648,0.833,0.408
"dart",0.001,255,31,20,999,0.576,0.865,0.192
"gbdt",0.001,255,31,20,6,0.674,0.818,0.408
"dart",1,125,31,20,1,0.451,0.854,0.175
"gbdt",1,125,31,20,1,0.489,0.857,0.198
"dart",0.1,125,31,20,55,0.394,0.903,0.186
"gbdt",0.1,125,31,20,21,0.383,0.905,0.174
"dart",0.01,125,31,20,995,0.381,0.904,0.159
"gbdt",0.01,125,31,20,6,0.645,0.873,0.408
"dart",0.001,125,31,20,999,0.569,0.871,0.178
"gbdt",0.001,125,31,20,6,0.673,0.859,0.408
"dart",1,25,31,20,1,0.435,0.881,0.17
"gbdt",1,25,31,20,1,0.44,0.857,0.169
"dart",0.1,25,31,20,59,0.374,0.905,0.169
"gbdt",0.1,25,31,20,7,0.474,0.871,0.197
"dart",0.01,25,31,20,965,0.382,0.904,0.175
"gbdt",0.01,25,31,20,6,0.643,0.858,0.408
"dart",0.001,25,31,20,999,0.576,0.86,0.198
"gbdt",0.001,25,31,20,6,0.674,0.845,0.408
"dart",1,15,31,20,1,0.451,0.857,0.178
"gbdt",1,15,31,20,1,0.48,0.832,0.198
"dart",0.1,15,31,20,43,0.379,0.902,0.172
"gbdt",0.1,15,31,20,13,0.418,0.886,0.188
"dart",0.01,15,31,20,888,0.384,0.9,0.17
