"boostings","learning_rates","max_bins","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"dart",0.01,20,10,10,990,0.364,0.913,0.167
"gbdt",0.01,20,10,10,6,0.648,0.877,0.408
"dart",1,255,15,10,1,0.425,0.881,0.177
"gbdt",1,255,15,10,1,0.435,0.877,0.181
"dart",0.1,255,15,10,58,0.385,0.899,0.178
"gbdt",0.1,255,15,10,12,0.408,0.917,0.173
"dart",0.01,255,15,10,990,0.374,0.904,0.175
"gbdt",0.01,255,15,10,6,0.645,0.872,0.408
"dart",1,25,15,10,1,0.402,0.887,0.166
"gbdt",1,25,15,10,1,0.42,0.878,0.173
"dart",0.1,25,15,10,187,0.347,0.917,0.153
"gbdt",0.1,25,15,10,21,0.381,0.907,0.184
"dart",0.01,25,15,10,990,0.371,0.904,0.166
"gbdt",0.01,25,15,10,6,0.645,0.888,0.408
"dart",1,15,15,10,1,0.443,0.874,0.183
"gbdt",1,15,15,10,1,0.407,0.889,0.172
"dart",0.1,15,15,10,129,0.366,0.907,0.167
"gbdt",0.1,15,15,10,17,0.379,0.912,0.161
"dart",0.01,15,15,10,999,0.363,0.911,0.17
"gbdt",0.01,15,15,10,6,0.647,0.88,0.408
"dart",1,20,15,10,1,0.395,0.894,0.153
"gbdt",1,20,15,10,1,0.431,0.875,0.186
"dart",0.1,20,15,10,161,0.369,0.901,0.169
"gbdt",0.1,20,15,10,13,0.395,0.917,0.163
"dart",0.01,20,15,10,990,0.377,0.901,0.172
"gbdt",0.01,20,15,10,6,0.646,0.877,0.408
"dart",1,255,20,10,1,0.453,0.86,0.192
"gbdt",1,255,20,10,1,0.459,0.847,0.191
"dart",0.1,255,20,10,91,0.385,0.897,0.169
"gbdt",0.1,255,20,10,21,0.376,0.902,0.183
"dart",0.01,255,20,10,902,0.36,0.916,0.159
"gbdt",0.01,255,20,10,6,0.646,0.853,0.408
"dart",1,25,20,10,1,0.405,0.888,0.162
"gbdt",1,25,20,10,1,0.435,0.87,0.173
"dart",0.1,25,20,10,83,0.367,0.907,0.167
"gbdt",0.1,25,20,10,14,0.384,0.913,0.163
"dart",0.01,25,20,10,996,0.375,0.907,0.184
"gbdt",0.01,25,20,10,6,0.646,0.875,0.408
"dart",1,15,20,10,1,0.444,0.868,0.195
"gbdt",1,15,20,10,1,0.436,0.847,0.178
"dart",0.1,15,20,10,90,0.377,0.903,0.164
"gbdt",0.1,15,20,10,13,0.4,0.905,0.188
"dart",0.01,15,20,10,999,0.376,0.902,0.173
"gbdt",0.01,15,20,10,6,0.65,0.875,0.408
"dart",1,20,20,10,1,0.467,0.854,0.198
"gbdt",1,20,20,10,1,0.438,0.852,0.178
"dart",0.1,20,20,10,75,0.356,0.91,0.153
"gbdt",0.1,20,20,10,21,0.369,0.905,0.156
"dart",0.01,20,20,10,996,0.364,0.91,0.169
"gbdt",0.01,20,20,10,6,0.645,0.88,0.408
