"boostings","learning_rates","max_bins","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"gbdt",0.1,255,20,10,24,0.31,0.933,0.124
"dart",0.01,255,20,10,6,0.642,0.907,0.404
"gbdt",0.01,255,20,10,6,0.641,0.918,0.404
"dart",0.001,255,20,10,6,0.672,0.902,0.404
"gbdt",0.001,255,20,10,6,0.672,0.896,0.404
"dart",0.1,25,20,10,16,0.366,0.929,0.126
"gbdt",0.1,25,20,10,24,0.311,0.932,0.124
"dart",0.01,25,20,10,6,0.642,0.902,0.404
"gbdt",0.01,25,20,10,6,0.642,0.906,0.404
"dart",0.001,25,20,10,6,0.671,0.908,0.404
"gbdt",0.001,25,20,10,6,0.671,0.909,0.404
"dart",0.1,15,20,10,18,0.367,0.928,0.132
"gbdt",0.1,15,20,10,13,0.368,0.923,0.132
"dart",0.01,15,20,10,6,0.642,0.908,0.404
"gbdt",0.01,15,20,10,6,0.642,0.908,0.404
"dart",0.001,15,20,10,6,0.671,0.903,0.404
"gbdt",0.001,15,20,10,6,0.671,0.908,0.404
"dart",0.1,125,20,10,16,0.365,0.924,0.128
"gbdt",0.1,125,20,10,21,0.321,0.931,0.127
"dart",0.01,125,20,10,6,0.642,0.914,0.404
"gbdt",0.01,125,20,10,6,0.641,0.907,0.404
"dart",0.001,125,20,10,6,0.671,0.911,0.404
"gbdt",0.001,125,20,10,6,0.672,0.912,0.404
"dart",0.1,75,20,10,11,0.407,0.928,0.134
"gbdt",0.1,75,20,10,22,0.314,0.93,0.124
"dart",0.01,75,20,10,6,0.642,0.91,0.404
"gbdt",0.01,75,20,10,6,0.641,0.913,0.404
"dart",0.001,75,20,10,6,0.671,0.912,0.404
"gbdt",0.001,75,20,10,6,0.671,0.904,0.404
"dart",0.1,250,20,10,11,0.406,0.931,0.135
"gbdt",0.1,250,20,10,17,0.336,0.929,0.128
"dart",0.01,250,20,10,6,0.642,0.908,0.404
"gbdt",0.01,250,20,10,6,0.642,0.913,0.404
"dart",0.001,250,20,10,6,0.671,0.91,0.404
"gbdt",0.001,250,20,10,6,0.672,0.909,0.404
"dart",0.1,255,40,10,11,0.403,0.924,0.133
"gbdt",0.1,255,40,10,16,0.343,0.925,0.135
"dart",0.01,255,40,10,6,0.641,0.897,0.404
"gbdt",0.01,255,40,10,6,0.64,0.902,0.404
"dart",0.001,255,40,10,6,0.671,0.904,0.404
"gbdt",0.001,255,40,10,6,0.671,0.903,0.404
"dart",0.1,25,40,10,13,0.389,0.928,0.129
"gbdt",0.1,25,40,10,25,0.312,0.928,0.128
"dart",0.01,25,40,10,6,0.64,0.907,0.404
"gbdt",0.01,25,40,10,6,0.64,0.905,0.404
"dart",0.001,25,40,10,6,0.672,0.896,0.404
"gbdt",0.001,25,40,10,6,0.671,0.906,0.404
"dart",0.1,15,40,10,14,0.385,0.923,0.134
"gbdt",0.1,15,40,10,27,0.313,0.925,0.131
"dart",0.01,15,40,10,6,0.641,0.907,0.404
"gbdt",0.01,15,40,10,6,0.64,0.905,0.404
"dart",0.001,15,40,10,6,0.671,0.902,0.404
"gbdt",0.001,15,40,10,6,0.671,0.901,0.404
"dart",0.1,125,40,10,14,0.382,0.925,0.137
"gbdt",0.1,125,40,10,17,0.334,0.927,0.134
"dart",0.01,125,40,10,6,0.64,0.905,0.404
"gbdt",0.01,125,40,10,6,0.64,0.907,0.404
"dart",0.001,125,40,10,6,0.671,0.892,0.404
"gbdt",0.001,125,40,10,6,0.671,0.899,0.404
"dart",0.1,75,40,10,19,0.354,0.928,0.127
"gbdt",0.1,75,40,10,13,0.35,0.932,0.127
"dart",0.01,75,40,10,6,0.641,0.899,0.404
"gbdt",0.01,75,40,10,6,0.64,0.901,0.404
"dart",0.001,75,40,10,6,0.672,0.9,0.404
"gbdt",0.001,75,40,10,6,0.672,0.901,0.404
"dart",0.1,250,40,10,16,0.358,0.929,0.13
"gbdt",0.1,250,40,10,16,0.335,0.93,0.126
"dart",0.01,250,40,10,6,0.64,0.898,0.404
"gbdt",0.01,250,40,10,6,0.64,0.912,0.404
"dart",0.001,250,40,10,6,0.672,0.897,0.404
"gbdt",0.001,250,40,10,6,0.672,0.89,0.404
"dart",0.1,255,10,20,18,0.38,0.919,0.137
"gbdt",0.1,255,10,20,36,0.304,0.93,0.125
"dart",0.01,255,10,20,6,0.645,0.896,0.404
"gbdt",0.01,255,10,20,6,0.645,0.897,0.404
"dart",0.001,255,10,20,6,0.673,0.889,0.404
"gbdt",0.001,255,10,20,6,0.672,0.889,0.404
"dart",0.1,25,10,20,15,0.396,0.919,0.139
"gbdt",0.1,25,10,20,41,0.306,0.928,0.127
"dart",0.01,25,10,20,6,0.645,0.893,0.404
"gbdt",0.01,25,10,20,6,0.645,0.885,0.404
"dart",0.001,25,10,20,6,0.672,0.895,0.404
"gbdt",0.001,25,10,20,6,0.672,0.89,0.404
"dart",0.1,15,10,20,18,0.382,0.915,0.131
"gbdt",0.1,15,10,20,31,0.314,0.926,0.134
"dart",0.01,15,10,20,6,0.645,0.891,0.404
"gbdt",0.01,15,10,20,6,0.645,0.888,0.404
"dart",0.001,15,10,20,6,0.672,0.884,0.404
"gbdt",0.001,15,10,20,6,0.673,0.884,0.404
"dart",0.1,125,10,20,18,0.374,0.921,0.134
"gbdt",0.1,125,10,20,13,0.374,0.923,0.135
"dart",0.01,125,10,20,6,0.644,0.902,0.404
