id,latitude,longitude,elevation,state,name,gsn_flag,wmo_id,element,first_year,last_year
FRM00007471,45.081,3.763,832.4,,LOUDES,,07471,TMAX,1983,2023
FRM00007481,45.726,5.091,250.2,,SAINT EXUPERY,,07481,TMAX,1975,2023
FRM00007535,44.745,1.3967,260,,GOURDON,,07535,TMAX,1961,2023
FRM00007558,44.117,3.017,720,,MILLAU,,07558,TMAX,1973,2023
FRM00007607,43.912,-0.508,61.9,,MONT DE MARSAN,,07607,TMAX,1973,2023
FRM00007621,43.179,-0.006,384,,LOURDES,,07621,TMAX,1973,2023
FRM00007627,43.008,1.103,417,,ANTICHAN,,07627,TMAX,1973,2023
FRM00007643,43.576,3.963,5.2,,MEDITERRANEE,,07643,TMAX,1973,2023
FRM00007690,43.658,7.216,3.7,,COTE D AZUR,,07690,TMAX,1973,2023
FRM00007761,41.924,8.803,5.5,,CAMPO DELL ORO,,07761,TMAX,1973,2023
FRM00007790,42.553,9.484,7.9,,PORETTA,,07790,TMAX,1973,2023
FRM00061998,-49.35,70.25,30,,PORT-AUX-FRANCAIS (ILES KERGU,GSN,61998,TMAX,1973,2023
GM000001474,53.1017,8.7842,4,,BREMEN-SEEFAHRTSCHULE,,10224,TMAX,1890,2022
GM000002288,49.4253,7.7367,285,,KAISERSLAUTERN,,,TMAX,1901,2022
GM000002716,48.7703,9.1825,286,,STUTTGART-STADT,,10738,TMAX,1900,2022
GM000003038,53.6442,11.3883,59,,SCHWERIN,,10162,TMAX,1890,2022
GM000003319,52.4639,13.3017,51,,BERLIN-DAHLEM,,10381,TMAX,1876,2022
GM000003342,52.3833,13.0639,81,,POTSDAM,,10379,TMAX,1893,2022
GM000004063,49.8753,10.9217,240,,BAMBERG,,10675,TMAX,1879,2022
GM000004155,47.4219,10.9867,2964,,ZUGSPITZE,,10961,TMAX,1900,2022
GM000004199,48.1667,11.5025,515,,MUNCHEN-NYMPHENBURG,,10865,TMAX,1879,2022
GM000004204,50.9267,11.5842,155,,JENA STERNWARTE,,,TMAX,1824,2022
GM000010147,53.635,9.99,11,,HAMBURG FUHLSBUETTEL,GSN,10147,TMAX,1891,2022
GM000010393,52.2094,14.1203,98,,LINDENBERG,GSN,10393,TMAX,1906,2022
GM000010962,47.8017,11.0117,977,,HOHENPEISSENBERG,GSN,10962,TMAX,1879,2022
GME00102169,54.1667,6.35,0,,UFS TW EMS,,,TMAX,2000,2022
GME00102177,54.1764,7.8931,4,,HELGOLAND,,10015,TMAX,1952,2022
GME00102185,55.0125,8.4125,26,,LIST/SYLT,,10020,TMAX,1937,2022
GME00102193,54.5289,9.5492,43,,SCHLESWIG,,10035,TMAX,1947,2022
GME00102201,54.5294,11.0617,3,,WESTERMARKELSDORF/FEHMARN,,10055,TMAX,1948,2022
GME00102212,54.1817,12.0819,4,,ROSTOCK-WARNEMUNDE,,10170,TMAX,1947,2022
GME00102220,54.0978,13.4075,2,,GREIFSWALD,,10184,TMAX,1898,2022
GME00102228,53.3719,7.2242,0,,EMDEN-WOLTHUSEN,,10200,TMAX,1955,2022
GME00102244,52.4656,9.6794,55,,HANNOVER,,10338,TMAX,1935,2022
GME00102252,52.1031,11.5842,76,,MAGDEBURG,,10361,TMAX,1881,2022
GME00102268,51.2969,6.77,37,,DUSSELDORF,,10400,TMAX,1937,2022
GME00102284,51.1167,9.2831,174,,FRITZLAR,,,PRCP,2001,2022
GME00102292,51.4358,12.2414,131,,LEIPZIG-SCHKEUDITZ,,10469,TMAX,1934,2022
GME00102308,51.1631,14.9531,238,,GORLITZ,,10499,TMAX,1880,2022
GME00102324,50.3608,6.8703,485,,NURBURG-BARWEILER,,10506,TMAX,1995,2022
GME00102332,50.5625,10.3769,450,,MEININGEN,,10548,TMAX,1979,2022
GME00102340,50.9844,10.9631,316,,ERFURT-BINDERSLEBEN,,10554,TMAX,1935,2022
GME00102348,50.4292,12.9553,1213,,FICHTELBERG,,10578,TMAX,1890,2022
GME00102356,49.7714,9.9589,268,,WURZBURG,,10655,TMAX,1937,2022
GME00102364,50.3131,11.8775,565,,HOF,,10685,TMAX,1936,2022
GME00102372,49.2142,7.1081,320,,SAARBRUCKEN/ENSHEIM,,10708,TMAX,1951,2022
GME00102380,49.5042,11.0567,314,,NURNBERG,,10763,TMAX,1879,2022
GME00102388,48.8283,12.5603,351,,STRAUBING,,10788,TMAX,1951,2022
GME00102396,48.4264,10.9431,461,,AUGSBURG,,10852,TMAX,1941,2022
GME00102404,47.6781,9.1908,443,,KONSTANZ,,10929,TMAX,1972,2022
GME00102412,47.7242,10.3364,705,,KEMPTEN,,10946,TMAX,1952,2022
GME00111430,52.1353,7.7,48,,MUENSTER/OSNABRUECK (AIRPORT),,10315,TMAX,1989,2022
GME00111445,52.4683,13.4039,48,,BERLIN-TEMPELHOF,,10384,TMAX,1931,2022
GME00111457,51.1903,8.4681,839,,ALTASTENBERG,,10427,TMAX,1887,2022
GME00111464,51.1292,13.7558,227,,DRESDEN-KLOTZSCHE,,,SNWD,1926,2022
GME00111474,49.7492,6.6592,265,,TRIER-PETRISBERG,,10609,TMAX,1939,2022
GME00111503,48.9733,8.3308,116,,RHEINSTETTEN,,,TMAX,1948,2022
GME00111512,48.6892,9.2253,371,,STUTTGART/ECHTERDINGEN,,,TMAX,1953,2022
GME00114621,51.8,10.62,1142,,BROCKEN,,10453,TMAX,1896,2022
GME00115771,48.8292,9.2008,314,,STUTTGART-SCHNARRENBERG,,10739,TMAX,1958,2022
GME00120922,53.8631,8.1275,32,,LEUCHTTURM ALTE WESER,,,TMAX,1998,2022
GME00120934,47.8756,8.0044,1490,,FELDBERG/SCHWARZWALD,,10908,TMAX,1936,2022
GME00120946,48.4544,8.41,797,,FREUDENSTADT,,10815,TMAX,1949,2022
GME00120958,50.7992,6.025,231,,AACHEN-ORSBACH,,10505,TMAX,2011,2022
GME00120970,50.8819,12.13,311,,GERA-LEUMNITZ,,10567,TMAX,1952,2022
GME00120982,50.6008,8.6506,203,,GIESSEN/WETTENBERG,,10532,TMAX,1939,2022
GME00120994,53.0331,13.9931,54,,ANGERMUNDE,,10291,TMAX,1908,2022
GME00121006,49.1139,13.1353,1436,,GROSSER ARBER,,10791,TMAX,1949,2022
GME00121018,54.6817,13.4367,42,,ARKONA,,10091,TMAX,1947,2022
GME00121030,54.3756,10.1439,27,,KIEL-HOLTENAU,,10046,TMAX,1935,2022
GME00121042,50.8658,7.1583,92,,KOLN-BONN,,10513,TMAX,1931,2022
GME00121054,48.3656,7.8289,155,,LAHR,,10805,TMAX,1950,2022
GME00121066,54.5003,10.2744,5,,LEUCHTTURM KIEL,,,TMAX,1998,2022
GME00121078,51.7867,8.8394,157,,BAD LIPPSPRINGE,,10430,TMAX,1951,2022
GME00121090,53.3242,11.9333,81,,MARNITZ,,10264,TMAX,1902,2022
GME00121102,53.7139,7.1525,11,,NORDERNEY,,10113,TMAX,1947,2022
GME00121114,47.3989,10.2767,806,,OBERSTDORF,,10948,TMAX,1910,2022
GME00121126,49.2081,9.5183,276,,OHRINGEN,,10742,TMAX,1947,2022
GME00121138,49.0433,12.1031,365,,REGENSBURG,,10776,TMAX,1879,2022
GME00121162,48.6667,9.8656,734,,STOTTEN,,10836,TMAX,1947,2022
GME00121174,50.4978,9.9439,921,,WASSERKUPPE,,10544,TMAX,1936,2022
