"boostings","learning_rates","max_bins","min_data_in_leaf","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"gbdt",0.1,1800,10,60,-1,26,0.317,0.927,0.139
"dart",0.01,1800,10,60,-1,11,0.628,0.903,0.407
"gbdt",0.01,1800,10,60,-1,11,0.618,0.906,0.407
"dart",0.1,500,10,60,-1,18,0.35,0.926,0.129
"gbdt",0.1,500,10,60,-1,30,0.314,0.928,0.125
"dart",0.01,500,10,60,-1,11,0.628,0.898,0.407
"gbdt",0.01,500,10,60,-1,11,0.616,0.909,0.407
"dart",0.1,125,10,60,-1,19,0.361,0.925,0.141
"gbdt",0.1,125,10,60,-1,31,0.309,0.928,0.128
"dart",0.01,125,10,60,-1,11,0.628,0.903,0.407
"gbdt",0.01,125,10,60,-1,11,0.619,0.903,0.407
"dart",0.1,255,20,100,-1,69,0.315,0.928,0.131
"gbdt",0.1,255,20,100,-1,39,0.314,0.924,0.124
"dart",0.01,255,20,100,-1,11,0.63,0.904,0.407
"gbdt",0.01,255,20,100,-1,11,0.621,0.907,0.407
"dart",0.1,1800,20,100,-1,36,0.333,0.927,0.139
"gbdt",0.1,1800,20,100,-1,41,0.307,0.928,0.122
"dart",0.01,1800,20,100,-1,11,0.63,0.904,0.407
"gbdt",0.01,1800,20,100,-1,11,0.62,0.904,0.407
"dart",0.1,500,20,100,-1,50,0.323,0.927,0.134
"gbdt",0.1,500,20,100,-1,36,0.299,0.932,0.129
"dart",0.01,500,20,100,-1,11,0.629,0.908,0.407
"gbdt",0.01,500,20,100,-1,11,0.619,0.914,0.407
"dart",0.1,125,20,100,-1,58,0.311,0.93,0.123
"gbdt",0.1,125,20,100,-1,39,0.304,0.931,0.128
"dart",0.01,125,20,100,-1,11,0.631,0.902,0.407
"gbdt",0.01,125,20,100,-1,11,0.62,0.91,0.407
"dart",0.1,255,40,100,-1,40,0.338,0.924,0.134
"gbdt",0.1,255,40,100,-1,49,0.296,0.932,0.121
"dart",0.01,255,40,100,-1,11,0.634,0.893,0.407
"gbdt",0.01,255,40,100,-1,11,0.625,0.9,0.407
"dart",0.1,1800,40,100,-1,31,0.361,0.923,0.134
"gbdt",0.1,1800,40,100,-1,55,0.303,0.93,0.131
"dart",0.01,1800,40,100,-1,11,0.633,0.903,0.407
"gbdt",0.01,1800,40,100,-1,11,0.624,0.904,0.407
"dart",0.1,500,40,100,-1,35,0.346,0.925,0.136
"gbdt",0.1,500,40,100,-1,30,0.31,0.929,0.128
